Speaker,Interview,Start Time,End Time,Duration (Seconds),Transcript
Magalys,dunas,00:22,00:25,3.6862745098039214,"We are in the territory of Usijou´, in Alewalü."
Magalys,dunas,00:25,00:29,4.235294117647059,I don't know if you've heard that it's a sacred place.
Neko,dunas,00:39,00:45,6.0,Yes of course. My grandmother and my mother's grandmother were from here.
Magalys,dunas,02:02,02:05,2.909090909090909,You must harmonize with the territory because we
Magalys,dunas,00:46,00:49,2.967741935483871,"yes, over there, from here you can see the sea"
Magalys,dunas,01:10,01:14,4.530120481927711,"There where the pieces of amuchi (ceramic) are,"
Magalys,dunas,05:46,05:47,1.0,the territory is sacred
Magalys,dunas,02:55,03:00,4.469879518072289,The ancestors say that through a dream they were told
Magalys,dunas,05:48,05:52,4.8533333333333335,"That was destined. Yes, that's why they were created"
Magalys,dunas,04:55,04:59,4.869565217391305,People say that here in the north is where
Magalys,dunas,04:30,04:34,4.320987654320987,Through stories like these they will know not only
Magalys,dunas,04:13,04:16,3.6363636363636367,Yeah. It is very good to make known what
Magalys,dunas,04:16,04:21,4.636363636363637,We have it because it is part of our Wayuu culture.
Magalys,dunas,06:40,06:43,3.2525252525252526,it is already getting dark and we already have
