Start Time,End Time,EN,ES,Highlight,Comments,Speaker
00:00:01:18,00:00:03:15,"Well, you can say","Bueno, usted puede decir",,,arregoces
00:00:03:15,00:00:05:03,first of all his name and,primero que todo su nombre y,,,arregoces
00:00:05:03,00:00:06:08,Where we are?,¿Dónde estamos?,,,arregoces
00:00:06:08,00:00:08:11,Where are we today?,¿Dónde nos encontramos hoy?,,,arregoces
00:00:08:11,00:00:10:07,My name is Arregocés Councilor,Mi nombre es Arregocés Concejala,,,arregoces
00:00:10:07,00:00:13:07,I am Council Governor of the Kogui people,Soy Cabildo Gobernador del pueblo Kogui,,,arregoces
00:00:13:12,00:00:16:01,"xxxx 's site ,","y estamos en el sitio de xxxx,",,,arregoces
00:00:16:01,00:00:17:18,there next to it.,allí al lado.,,,arregoces
00:00:17:18,00:00:21:16,"xxxx , and the one here is called xxxx","xxxx, y la propia aquí se llama xxxx",,,arregoces
00:00:21:18,00:00:24:01,"what is called in Spanish,","que se le llama en español,",,,arregoces
00:00:24:01,00:00:26:17,It is called Villa Lucia.,se llama Villa Lucía.,,,arregoces
00:00:26:17,00:00:30:02,So we are on my farm.,Entonces estamos en la finca mía.,,,arregoces
00:00:30:04,00:00:32:14,Very good. And well,Muy bien. Y bueno,,,arregoces
00:00:32:14,00:00:34:05,can you tell me a little about,me puede contar un poco de,,,arregoces
00:00:34:05,00:00:37:05,"the conservation project,","el proyecto de conservación,",,,arregoces
00:00:37:10,00:00:40:15,what they are doing in recovering territory.,lo que están haciendo en recuperación de territorio.,,,arregoces
00:00:40:17,00:00:43:09,"We have seen a lot, we have already gone to the river,","Hemos visto mucho, ya hemos ido al río,",,,arregoces
00:00:43:09,00:00:47:04,"there at xxxx , also Domingueca and all that journey.","ahí al xxxx, también Domingueca y todo ese recorrido.",,,arregoces
00:00:47:04,00:00:49:09,"And I don't know, can you tell a little bit of the story.","Y no sé, puede contar un poco de la historia.",,,arregoces
00:00:49:09,00:00:52:07,Where are they now?,¿En dónde andan ahora?,,,arregoces
00:00:52:07,00:00:55:07,"Well,","Bueno,",,,arregoces
00:00:55:09,00:00:56:07,the process,el proceso,,,arregoces
00:00:56:07,00:01:00:21,"We have about 35 years of the struggle process,","tenemos unos 35 años del proceso de lucha,",,,arregoces
00:01:00:23,00:01:06:17,the recovery of ancestral territory on the black line.,la recuperación del territorio ancestral en la línea negra.,,,arregoces
00:01:06:19,00:01:10:04,"The objective of the territory,","El objetivo del territorio,",,,arregoces
00:01:10:06,00:01:13:04,"The objective was four objectives, one","el objetivo era cuatros objetivos, uno",,,arregoces
00:01:13:04,00:01:17:00,The objective is to recover the ancestral territory.,el objetivo es recuperar el territorio ancestral.,,,arregoces
00:01:17:02,00:01:20:21,The second objective was,El segundo objetivo era,,,arregoces
