Start Time,End Time,EN,ES,Highlight,Comments,Speaker
00:00:02:12,00:00:04:23,So can you explain,Entonces ¿puede explicar,,,
00:00:04:23,00:00:09:19,what are you doing and what is this plant?,qué está haciendo y cuál es esta planta?,,,
00:00:09:21,00:00:13:11,"Well, this one kills","Bueno, esta mata",,,
00:00:13:13,00:00:14:21,"is called,","se llama,",,,
00:00:14:21,00:00:17:09,"we traditionally,","nosotros tradicionalmente,",,,
00:00:17:09,00:00:20:21,This is xxxx .,este es xxxx.,,,
00:00:20:23,00:00:21:07,Yeah,Sí,,,
00:00:21:07,00:00:25:16,"and it is a bush, a sacred bush.","y es una mata, una mata sagrada.",,,
00:00:25:18,00:00:30:18,A sacred daughter of Mother Earth.,Una hija sagrada de la Madre Tierra.,,,
00:00:30:20,00:00:32:23,She is a woman too.,Es una mujer también.,,,
00:00:32:23,00:00:35:23,"Therefore, when it grows","Por eso, cuando va creciendo",,,
00:00:36:00,00:00:38:11,"she blooms,","ella florece,",,,
00:00:38:11,00:00:40:10,bloom and,florecen y,,,
00:00:40:10,00:00:43:19,bloom,florecen,,,
00:00:43:21,00:00:46:04,"and they vote for a fruit, the red seed,","y votan una frutica, la semilla roja,",,,
00:00:46:04,00:00:50:18,"Like us women who grow, we flourish","como nosotras las mujeres que crecemos, florecemos",,,
00:00:50:18,00:00:52:06,and we reproduce.,y nos reproducimos.,,,
00:00:52:06,00:00:58:04,The same thing happens with the xxxx bush .,Igual pasa con la mata xxxx.,,,
00:00:58:06,00:01:01:23,"She is a sacred bush that we xxxx ,","Ella es una mata sagrada que nosotros los xxxx,",,,
00:01:02:01,00:01:04:13,"Well, men xxxx , we","pues los hombres xxxx, nosotras",,,
00:01:04:13,00:01:08:22,The women pick it up and the men,las mujeres la recogemos y los hombres,,,
00:01:08:22,00:01:12:21,They roast it in a clay pot,la tuestan en una olla de barro,,,
00:01:12:23,00:01:16:07,and they chew it,y la mastican,,,
00:01:16:09,00:01:18:08,"with lime,","con cal,",,,
00:01:18:08,00:01:22:09,They chew it and then that leaf,la mastican y luego esa hoja,,,
00:01:22:11,00:01:24:20,they pass it to the calabash,se la pasan al calabazo,,,
00:01:24:20,00:01:28:12,which becomes the poporo.,que se convierte en el poporo.,,,
00:01:28:14,00:01:33:12,"So yes, it is a sacred bush.","Entonces sí, es una mata sagrada.",,,
00:01:33:14,00:01:35:04,And that,Y esa,,,
00:01:35:04,00:01:40:18,"because men use it, what is produced for them?","porque los hombres la usan, ¿que se produce para ellos?",,,
00:01:40:20,00:01:43:03,good since,Bueno desde,,,
00:01:43:03,00:01:43:22,the beginning,el comienzo,,,
00:01:43:22,00:01:47:17,They left us this bush for men to chew,nos dejaron esta mata para que los hombres la mastiquen,,,
00:01:47:18,00:01:49:16,and,y,,,
00:01:49:16,00:01:54:08,"When they are men, they chew it and then","cuando ya sean ya hombres, la mastiquen y pues se la",,,
00:01:54:08,00:01:56:18,"they deliver the mamos with their authorization,","entregan los mamos con autorización de ellos,",,,
00:01:56:18,00:01:59:14,"Now they can chew,","ya ellos pueden masticar,",,,
00:01:59:14,00:02:03:14,symbolizing that a man can now have a woman.,simbolizando que ya el hombre ya puede tener mujer.,,,
00:02:03:16,00:02:05:11,"So, that's why, since this is a woman,","Entonces, por eso, como esto es mujer,",,,
00:02:05:11,00:02:07:08,now they can chew,ya ellos pueden masticar,,,
00:02:07:08,00:02:08:07,the sheet,la hoja,,,
00:02:08:07,00:02:09:01,represents,que representa,,,
00:02:09:01,00:02:13:02,the woman and that they can already have a woman.,la mujer y que ellos ya pueden tener mujer.,,,
00:02:13:04,00:02:16:13,This also helps,También esto ayuda,,,
00:02:16:15,00:02:19:10,"how to alleviate hunger,","como a mitigar el hambre,",,,
00:02:19:10,00:02:21:09,"that when he is on the hill,","que cuando está en la loma,",,,
00:02:21:09,00:02:24:07,"when it's like in a meeting,","cuando está como en reunión,",,,
00:02:24:07,00:02:27:17,He starts chewing and concentrating.,se pone a masticar y a concentrarse.,,,
00:02:27:19,00:02:32:05,"When he is concentrated, he is with the bush, chewing the bush.","Cuando está concentrado, está con la mata, masticando la mata.",,,
00:02:32:07,00:02:32:18,Women too?,¿Las mujeres también?,,,
00:02:32:18,00:02:35:06,"The leaves, the leaves, chewing the little leaves.","Las hojas, las hojas, masticando las hojitas.",,,
00:02:35:06,00:02:39:00,"No, not women, we only collect them","No, las mujeres no, solamente las recogemos",,,
00:02:39:02,00:02:43:06,here. We,aquí. Nosotras,,,
00:02:43:08,00:02:45:04,we do the work.,hacemos el trabajo.,,,
00:02:45:04,00:02:47:10,"Is it a type, a plant,","¿Es un tipo, una planta,",,,
00:02:47:10,00:02:50:14,"coke-like guy too, or not?","tipo parecido a la coca también, o no?",,,
00:02:50:14,00:02:52:11,This is the same coke.,Este es la misma coca.,,,
00:02:52:11,00:02:57:10,"But here the non-indigenous calls it coca, which","Sino que acá el no indígena lo llama coca, que",,,
00:02:57:11,00:03:00:08,"It sounds very very ugly,","suena muy muy feo,",,,
00:03:00:08,00:03:03:06,that that name,que ese nombre,,,
00:03:03:06,00:03:05:02,that the non-indigenous gave him,que le dieron los no indígena,,,
00:03:05:02,00:03:08:22,"They misused it, so they see it as a bad plant,","le dieron mal uso, entonces ya lo ven como una mata mala,",,,
00:03:08:22,00:03:10:07,"but it's not a bad bush,","pero no es una mata mala,",,,
00:03:10:07,00:03:14:15,"It is a normal bush, for us it is a bush that does not have,","es una mata normal, para nosotros es una mata que no tiene,",,,
00:03:14:17,00:03:18:15,"It doesn't do any harm, nothing.","no hace ningún daño, nada.",,,
00:03:18:17,00:03:21:16,"The woman, yes a woman then","La mujer, si una mujer pues",,,
00:03:21:16,00:03:24:12,"They train her badly because she is bad,","la entrenan mal pues es mala,",,,
00:03:24:12,00:03:27:22,"It's the same, for us it is a normal bush,","es igual, para nosotros es una mata normal,",,,
00:03:28:00,00:03:32:18,"It doesn't have any, it doesn't do any damage, it's a normal bush.","no tiene ningún, no hace ningún daño, es una mata normal.",,,
00:03:32:20,00:03:35:16,But what does it do very well?,¿Sino que hace muy bien?,,,
00:03:35:16,00:03:39:15,"Yeah.
And they plant it here?
Yeah.","Sí.
¿y aquí lo siembran?
Sí.",,,
00:03:39:16,00:03:42:11,All. Every family,Todo. Cada familia,,,
00:03:42:13,00:03:44:11,or each couple has their…,o cada pareja tiene su…,,,
00:03:44:11,00:03:49:20,"its nuance of xxxx , that is its traditional name.","su matica de xxxx, ese es su nombre tradicional.",,,
00:03:49:22,00:03:52:21,xxxx .,xxxx.,,,
00:03:53:00,00:03:56:23,"And it also grows here, like naturally here?","¿Y también crece acá, como naturalmente aquí?",,,
00:03:57:01,00:04:01:12,"Yes, this is natural here in the mountains, in any climate,","Sí, esta es natural acá en la sierra, en cualquier clima da,",,,
00:04:01:14,00:04:04:14,It is born in any climate.,en cualquier clima nace.,,,
00:04:04:15,00:04:08:10,Very good.,Muy bien.,,,
00:04:12:18,00:04:16:22,How,¿Cómo,,,
00:04:19:04,00:04:23:11,do you collect?,recolectas?,,,
00:04:23:13,00:04:26:16,"We pick it up individually, as a group.","La recogemos individualmente, en grupo.",,,
00:04:26:16,00:04:30:11,"When we are in a meeting in the town, well","Cuando estamos en reunión en el pueblo, pues",,,
00:04:30:13,00:04:32:11,we go in a small group and,vamos en grupito y la,,,
00:04:32:11,00:04:36:12,"We pick up, we help each other just like what happens in the Big House.","recogemos, nos ayudamos igual como pasa en la Casa Grande.",,,
00:04:36:12,00:04:39:12,In xxxx,En xxxx,,,
00:04:39:13,00:04:43:08,"to help us,","a ayudarnos, que",,,
00:04:43:10,00:04:44:19,"I don't know if you have heard the word xxxx ,","no sé si ha escuchado la palabra xxxx,",,,
00:04:44:19,00:04:50:01,"It's like helping each other,","es como ayudarse unos a otros,",,,
00:04:50:03,00:04:53:15,"being together, xxxx , like always helping each other.","estar juntos, xxxx, como ayudándose siempre.",,,
00:04:53:17,00:04:54:20,Like the store?,¿Como la tienda?,,,
00:04:54:20,00:04:57:20,"Like the store, that's why it's called xxxx .","Como la tienda, por eso se llama xxxx.",,,
00:04:57:20,00:05:00:01,And that's like helping each other?,¿Y eso es como ayudarse mutuamente?,,,
00:05:00:01,00:05:01:18,Mutually.,Mutuamente.,,,
00:05:01:18,00:05:06:09,This also helps us,Esto también nos ayuda,,,
00:05:06:11,00:05:08:04,"that we share, that","a que compartamos, a que",,,
00:05:08:04,00:05:12:11,"Let's talk, one is picking up the bush and is talking, this...","hablemos, uno está recogiendo la mata y está hablando, esta…",,,
00:05:12:13,00:05:14:12,Yeah.,si.,,,
