Start Time,End Time,EN,ES,Highlight,Comments,Speaker
00:00:06:11,00:00:08:00,They come out,Salen,,,
00:00:08:00,00:00:14:19,"mountains, drawing graphics","montañas, gráficas de dibujos",,,
00:00:14:21,00:00:16:17,and,y,,,
00:00:16:17,00:00:20:05,from xxxx.,de xxxx.,,,
00:00:20:07,00:00:22:06,And is it natural for it to look like that?,¿Y es natural que se vea así?,,,
00:00:22:06,00:00:24:07,It's natural,Es natural,,,
00:00:24:07,00:00:26:05,And is that type of piece used?,¿Y ese tipo de pieza se usa?,,,
00:00:26:05,00:00:27:17,That's the type that,Ese es el tipo que,,,
00:00:27:17,00:00:29:09,"is used to,","se usa para,",,,
00:00:29:09,00:00:30:13,for poporeo .,para el poporeo.,,,
00:00:30:13,00:00:32:21,This one too.,Este también.,,,
00:00:32:21,00:00:35:07,This is also used for popping.,Este también se usa para el poporeo.,,,
00:00:35:07,00:00:38:02,"And it takes a little while to burn,","Y este se demora un poquito quemando,",,,
00:00:38:02,00:00:41:02,this is very fragile,este es muy frágil,,,
00:00:41:03,00:00:42:01,and is pulverized,y se pulveriza,,,
00:00:42:01,00:00:44:13,fast.,rápido.,,,
00:00:44:13,00:00:48:04,So do you make a lime or how does that work?,¿Entonces se hace una cal o cómo funciona eso?,,,
00:00:48:06,00:00:50:10,Yes it makes a lime,Sí se hace un cal,,,
00:00:50:10,00:00:53:06,"And then when burning,","Y luego al quemar,",,,
00:00:53:06,00:00:55:22,put in a container,ponen en un recipiente,,,
00:00:55:22,00:00:57:05,"and begins to evaporate,","y empieza a evaporar,",,,
00:00:57:05,00:01:00:15,"washes it with hot water, with cold water","lo lava con agua caliente, con agua fría",,,
00:01:00:17,00:01:01:18,and,y,,,
00:01:01:18,00:01:03:19,then,luego,,,
00:01:03:19,00:01:05:22,"They put it in a container,","lo meten en un recipiente,",,,
00:01:05:22,00:01:11:10,"It can be a clay pot or a metal pot,","puede ser olla de barro o una olla metálica,",,,
00:01:11:12,00:01:13:12,something airtight,algo hermético,,,
00:01:13:12,00:01:17:19,and then it starts to evaporate by itself.,y entonces empieza a evaporarse solito.,,,
00:01:17:21,00:01:20:18,"When it cools, it is pulverized.",Cuando se enfría ya se pulveriza.,,,
00:01:20:18,00:01:23:05,"It is the procedure alone,","Es el procedimiento ya solito,",,,
00:01:23:05,00:01:25:19,does not contain chemicals or,no contiene químicos ni le,,,
00:01:25:19,00:01:31:07,"add nothing, just burn","agrega nada, solamente quemar",,,
00:01:31:09,00:01:34:20,and then put…,y luego poner a…,,,
00:01:34:22,00:01:37:13,you can say evaporate.,se puede decir evaporar.,,,
00:01:37:13,00:01:40:10,And,¿Y,,,
00:01:40:10,00:01:43:20,How does that interact with the sheet?,eso como interactúa con la hoja?,,,
00:01:43:22,00:01:49:04,"And then with the leaf it is toasted in a clay pot,","Y luego ya con la hoja se tuesta en una olla de barro,",,,
00:01:49:06,00:01:51:16,"is completely dehydrated, no longer","se deshidrata totalmente, que ya no",,,
00:01:51:16,00:01:54:23,the taste of green is felt,se sienta el sabor a verde,,,
00:01:55:01,00:01:58:00,and then that's it,y entonces ya pues eso,,,
00:01:58:03,00:02:00:07,we put in the mouth,colocamos en la boca,,,
00:02:00:07,00:02:10:13,and in these pores,y en estos poros,,,
00:02:10:15,00:02:13:10,well,pues,,,
00:02:13:10,00:02:14:03,we extract,extraemos,,,
00:02:14:03,00:02:18:11,"the lime with the stick,","la cal con el palo,",,,
00:02:18:13,00:02:21:18,an amount that does not harm the lip,una cantidad que no maltrate el labio,,,
00:02:21:20,00:02:24:03,because salt is very strong.,porque la sal es muy fuerte.,,,
00:02:24:03,00:02:27:03,"If I put it like that, it bothers me.",Si yo meto así me pela.,,,
00:02:27:07,00:02:29:14,So,Entonces,,,
00:02:29:14,00:02:32:11,I take out a quantity and on the sheet,saco una cantidad y sobre la hoja,,,
00:02:32:11,00:02:35:16,What do I have there with saliva?,que tengo ahí con saliva,,,
00:02:35:18,00:02:38:08,and I am forming,y voy formando,,,
00:02:38:08,00:02:40:04,different.,distintas.,,,
00:02:40:04,00:02:43:00,"And that way, each one is different?","¿Y esa forma, cada una es diferente?",,,
