Start Time,End Time,EN,ES,Highlight,Comments,Speaker
00:00:05:14,00:00:06:23,"So, first of all.","Entonces, primero que todo.",,,carmen
00:00:06:23,00:00:09:23,What are they doing here?,¿Qué están haciendo acá?,,,carmen
00:00:10:03,00:00:11:14,Hey,Eh,,,carmen
00:00:11:14,00:00:14:10,"Well, good night.","bueno, buenas noches.",,,carmen
00:00:14:23,00:00:18:11,In the name of the xxxx,En nombre de las xxxx,,,carmen
00:00:19:09,00:00:22:23,Here we meet every,"Aquí nos reunimos cada,",,,carmen
00:00:23:01,00:00:26:01,every 20 or 15 days and,cada 20 o 15 días y,,,carmen
00:00:29:19,00:00:32:19,"So we enter here,","pues entramos aquí,",,,carmen
00:00:32:20,00:00:34:06,Only women.,sólo mujeres.,,,carmen
00:00:34:06,00:00:36:08,Only women,Solo mujeres,,,carmen
00:00:36:08,00:00:38:15,"to talk,","para conversar,",,,carmen
00:00:38:15,00:00:40:01,for,para,,,carmen
00:00:40:01,00:00:42:22,"weave,","tejer,",,,carmen
00:00:42:22,00:00:44:13,to guide us.,para guiarnos.,,,carmen
00:00:44:13,00:00:45:22,"Well,","Bueno,",,,carmen
00:00:45:22,00:00:48:13,talk to each other.,hablar entre nosotras.,,,carmen
00:00:50:09,00:00:51:06,"So everything,","Así todo,",,,carmen
00:00:51:06,00:00:54:18,every 20 or 15 days we meet.,cada 20 o 15 días nos reunimos.,,,carmen
00:00:54:19,00:00:57:18,"And the time we last here,","Y el tiempo que duramos aquí,",,,carmen
00:00:57:18,00:00:59:21,"Well, we lasted five days.",pues duramos cinco días.,,,carmen
00:00:59:21,00:01:02:20,All night until midnight.,Toda la noche hasta medianoche.,,,carmen
00:01:02:20,00:01:06:01,Concentrating.,Concentrándonos.,,,carmen
00:01:06:03,00:01:06:16,"Yeah,","Sí,",,,carmen
00:01:06:16,00:01:09:20,because this is ours,porque este es nuestro,,,carmen
00:01:09:21,00:01:11:06,job.,trabajo.,,,carmen
00:01:11:06,00:01:15:11,"Because when Mother Earth was created,","Porque cuando se creó la Madre tierra,",,,carmen
00:01:15:12,00:01:18:19,"Hey,","Eh,",,,carmen
00:01:18:21,00:01:22:23,called Mother xxxx.,llamada Madre xxxx.,,,carmen
00:01:23:01,00:01:26:12,So when mother earth was created we,Entonces cuando se creó la madre tierra nos,,,carmen
00:01:26:14,00:01:28:22,entrusted,encomendaron,,,carmen
00:01:28:22,00:01:31:12,to take care of mother earth.,a cuidar la madre tierra.,,,carmen
00:01:31:12,00:01:35:21,And one of those things is that,Y pues una de esas cosas es que,,,carmen
00:01:36:00,00:01:41:02,Let's concentrate on knitting.,nos concentremos tejiendo.,,,carmen
00:01:41:04,00:01:44:14,"That's why when we pack the backpacks,","Por eso cuando hacemos las mochilas,",,,carmen
00:01:44:16,00:01:46:22,backpacks are made,las mochilas se hacen,,,carmen
00:01:46:22,00:01:49:06,"of everything we think,","de todo lo que pensamos,",,,carmen
00:01:49:06,00:01:52:06,the backpack is woven.,se teje la mochila.,,,carmen
00:01:53:06,00:01:56:13,"Here when we are knitting we have to be thinking,","Acá cuando estamos tejiendo hay que estar pensando,",,,carmen
00:01:56:15,00:02:00:15,"In other words, have positive thinking.","ósea, tener pensamiento positivo.",,,carmen
00:02:00:17,00:02:02:22,"So that the backpack,","Para que la mochila,",,,carmen
00:02:02:22,00:02:06:14,"because we make the backpacks for our husbands,","porque las mochilas las hacemos para nuestros esposos,",,,carmen
00:02:06:16,00:02:09:22,for our parents.,para nuestros padres.,,,carmen
00:02:09:23,00:02:11:21,So that's why we have to do,"Entonces, por eso tenemos que hacer",,,carmen
00:02:11:21,00:02:15:11,the backpacks thinking,las mochilas pensando,,,carmen
00:02:15:13,00:02:19:04,"well, have a positive thought,","bueno, tener un pensamiento positivo,",,,carmen
