Start Time,End Time,EN,HI,Highlight,Comments,Speaker,Interview
"00:00:00,013","00:00:09,013",Silence,Silence,,,sadhu 1,sadhu 1
"00:00:09,713","00:00:11,540","interview: Baba Namaste, Har Har Mahadev","interview: बाबा नमस्ते, हर हर महादेव",,,sadhu 1,sadhu 1
"00:00:11,565","00:00:12,700",Mahadev baba: Har Har Mahadev,baba: हर हर महादेव,,,sadhu 1,sadhu 1
"00:00:14,760","00:00:19,393","Interview: Baba, will you introduce yourself a little, what is your name, where do you belong from, what work do you do?","interview: बाबा छोटा सा एक अपना परिचय देदेंगे, क्या नाम है, कहाँ से belong करते हैं, क्या काम करते हैं?",,,sadhu 1,sadhu 1
"00:00:19,418","00:00:21,660","baba: Yes, my name is Pradeep Puri.",baba: जी हमारा नाम प्रदीप पुरी है,,,sadhu 1,sadhu 1
"00:00:22,770","00:00:25,357",We have been Naga Sadhus for 14 years,हम 14 वर्ष से नागा साधु हैं,,,sadhu 1,sadhu 1
"00:00:26,689","00:00:31,442","And I was born in Haryana, Rohtak district","और हमारा जन्म हरयाणा, रोहतक district में हुआ है",,,sadhu 1,sadhu 1
"00:00:32,702","00:00:33,976",interview: wait a second,interview: एक सेकंड रुको,,,sadhu 1,sadhu 1
"00:00:35,457","00:00:50,220",phone rang and the interviewer speaks about some issue with something,phone rang and the interviewer speaks about some issue with something,,,sadhu 1,sadhu 1
"00:00:51,614","00:00:54,902","How to become a saint?
You can share your experience",कैसे बनते हैं साधु ? आप थोडा अपना experience,,,sadhu 1,sadhu 1
"00:00:54,927","00:01:01,319","baba: There is no point in
becoming a saint as some say.",baba: साधू बनना कोई मतलब कि जैसे कहते हैं कोई,,,sadhu 1,sadhu 1
"00:01:03,299","00:01:06,826","Interview: Hey aunty, take it easy, take it easy, please give me two minutes of silence.","interview: अरे आंटी, आराम से, आराम से प्लीज दो मिनट शान्ति",,,sadhu 1,sadhu 1
"00:01:10,256","00:01:10,703",Yes,जी,,,sadhu 1,sadhu 1
"00:01:12,109","00:01:15,676",baba: So as if becoming a saint is not such a difficult task.,baba: तो जैसे कि साधु बनना कोई इतना कष्ट कार्य नहीं है,,,sadhu 1,sadhu 1
"00:01:16,848","00:01:20,202",Sadhu is a sadhana,साधु एक साधना है,,,sadhu 1,sadhu 1
"00:01:21,075","00:01:23,815",like meditating on god,जैसे कि भगवान् का ध्यान करना,,,sadhu 1,sadhu 1
"00:01:25,009","00:01:26,162",to worship them,उनका भजन करना,,,sadhu 1,sadhu 1
"00:01:27,082","00:01:32,540",Sadhus perform puja according to rules and regulations,नियम कर्म से पूजा पाठ करते हैं साधू,,,sadhu 1,sadhu 1
"00:01:34,162","00:01:39,541",And as it has been 14 years since I became saint,और जैसे कि हमें 14 वर्ष हो गए साधु बने हुए,,,sadhu 1,sadhu 1
"00:01:39,855","00:01:41,022",I am a Naga saint,नागा साधु हैं,,,sadhu 1,sadhu 1
"00:01:41,432","00:01:43,152",from Junakhada,जूनाखाड़ा से हैं,,,sadhu 1,sadhu 1
"00:01:43,572","00:01:45,099",Pradeep Puri is my name,प्रदीप पुरी हमारा नाम है,,,sadhu 1,sadhu 1
"00:01:45,565","00:01:48,159",Our Guruji's name is Raman Puri Ji Maharaj.,"हमारे गुरूजी का नाम है, रमन पुरी जी महाराज",,,sadhu 1,sadhu 1
"00:01:48,889","00:01:51,436",We belong to Haridwar,हरिद्वार से belong करते हैं हम,,,sadhu 1,sadhu 1
"00:01:52,176","00:01:54,229","Our birth place is Haryana, Rohtak","हमारी जन्म भूमि हरयाणा, रोहतक है",,,sadhu 1,sadhu 1
"00:01:55,612","00:01:57,418",we are in parikrama now,अभी हम परिक्रमा पर हैं,,,sadhu 1,sadhu 1
"00:02:02,624","00:02:05,531","Interview: Take me to your early days, what did you do?","interview: आप अपने शुरूआती दिनों में ले जाइए, क्या करते थे",,,sadhu 1,sadhu 1
"00:02:05,899","00:02:09,819",baba: We will tell you 14 years from today,baba: हम आपको आज से 14 वर्ष पहले बता देते हैं,,,sadhu 1,sadhu 1
"00:02:10,559","00:02:12,826",we used to do readymade work,हम readymade का काम करते थे,,,sadhu 1,sadhu 1
"00:02:13,863","00:02:15,237",means private job,मतलब की प्राइवेट जॉब,,,sadhu 1,sadhu 1
"00:02:16,910","00:02:18,870","I have mother, father","माता जी हैं हमारी, पिताजी हैं",,,sadhu 1,sadhu 1
