Start Time,End Time,EN,HI,Highlight,Comments,Speaker
"00:00:00,038","00:00:02,392",baba: discussing something to someone else,baba: discussing something to someone else,,,kashi baba
"00:00:06,925","00:00:07,772",baba: har har,baba: हर हर,,,kashi baba
"00:00:13,899","00:00:15,132","yes, Mahadev",हाँ महादेव,,,kashi baba
"00:00:15,842","00:00:17,336","interviewer: Baba, Namaskar","interviewer:बाबा, नमस्कार",,,kashi baba
"00:00:17,361","00:00:18,122","Baba: Namaskar, brother.",Baba: नमस्कार भाई,,,kashi baba
"00:00:18,496","00:00:24,408",interviewer: please tell us something about yourself in a brief introduction that what is your name...,"interviewer: बाबा आप अपने बारे में बताएंगे, थोडा सा एक छोटा सा इंट्रोडक्शन दे दीजिए कि आपका नाम...",,,kashi baba
"00:00:24,433","00:00:25,736",baba: my name is Kashi Baba,baba:my name is Kashi Baba,,,kashi baba
"00:00:25,762","00:00:27,269","interviewer: we will
talk in Hindi Baba: Ok","interviewer: हम हिंदी में बात करेंगे
Baba: ठीक है",,,kashi baba
"00:00:27,362","00:00:33,645","Baba: My name is Kashi Baba, I live in Manikarnika Maha Shamshan (cemetery) and that is my job.","Baba: हमारा नाम काशी बाबा है, हम मणिकर्णिका महाशमशान में रहते हैं,और ये हमारा कर्म है",,,kashi baba
"00:00:34,685","00:00:43,538","people who comes to me, I explain all the things related to this place about what happens here and why it happens and that this place is known as Manikarnika Maha Shamshan (cemetery)","जो भी लोग आते हैं, उनको यहाँ के विस्तार में बताते हैं जो, यहाँ क्या होता है, क्यों होता है, ये मणिकर्णिका महाशमशान है",,,kashi baba
"00:00:44,525","00:00:50,751","People come here to attain salvation, but only one who has done his karma attains salvation.","लोग यहाँ मोक्ष प्राप्ति के लिए आते हैं, लेकिन जिसका कर्म होता है, वही मोक्ष को प्राप्त होता है",,,kashi baba
"00:00:51,935","00:00:56,548","Interviewer: What is the meaning of salvation
baba:This is a great crematorium, karma is worshiped here.","interviewer: मोक्ष का क्या मतलब है
baba: ये महा शमशान है, कर्म की पूजा होती है यहाँ",,,kashi baba
