,Start Time,End Time,EN,ES,Highlight,Comments,Interview
0,00:04,00:06,Tell us your name what do you do for living,Dinos su nombre y a que se dedica,,,salinero oscar
1,00:07,00:10,My name is Oscar Pushaina.,Me llamo Oscar Pushaina,,,salinero oscar
2,00:11,00:12,And what do you do here?,¿Y a que se dedica acá?,,,salinero oscar
3,00:13,00:16,I come here to work with salt,Yo vengo acá a trabajar con la sal,,,salinero oscar
4,00:17,00:22,"Sometimes I arrive here at dawn, at 4 in the morning","A veces yo llego aquí en la madrugada, desde las 4 de la mañana",,,salinero oscar
5,00:23,00:24,And I leave around ten,Y salgo como a las diez,,,salinero oscar
6,00:26,00:27,At the very least,Como mínimo,,,salinero oscar
7,00:28,00:29,And since what age have you worked here?,Y ¿desde que edad ha trabajado acá?,,,salinero oscar
8,00:31,00:35,I have been here for 25 years,Tengo 25 años de estar acá,,,salinero oscar
9,00:37,00:41,"Well, and the salt, how is it made? or what is the process?","Bueno, y la sal ¿cómo se hace? o ¿cuál es el proceso?",,,salinero oscar
10,00:42,00:23,how is it done?,Como se hace,,,salinero oscar
11,00:45,00:51,The saltwater is poured over there to evaporate there,El agua salada se echa para allá para que evapore ahí,,,salinero oscar
12,00:52,00:57,And then it is passed here so that it curdles here,Y luego se pasa aquí para que se cuaje aquí,,,salinero oscar
13,00:58,00:59,And the crystal is formed,Y se formule el cristal,,,salinero oscar
14,01:00,01:05,And how important is that mineral in your life?,Y ¿qué importancia tiene ese mineral en su vida?,,,salinero oscar
15,01:10,01:15,Can you be more specific about the question?,Puede ser más puntual con respecto a la pregunta,,,salinero oscar
16,01:17,01:21,"When did you start working here? Yeah
Did you start small or what?","Sobre ¿Cuándo empezó a trabajar acá? Si
¿comenzaste desde pequeño o qué?",,,salinero oscar
17,01:22,01:24,Well I said that I have been here for 25 years,Bueno yo dije que tengo 25 años acá,,,salinero oscar
18,01:25,01:30,"Yes, but could you tell us from what age did you start?
And then how long have you been here?","Si, pero podrías decirnos ¿desde que edad empezaste?
Y luego ¿Cuánto llevas acá?",,,salinero oscar
19,01:31,01:33,I have been working with salt for 25 years.,Tengo 25 años trabajando con la sal,,,salinero oscar
20,01:38,01:40,And regarding the last question,Y con respecto a la última pregunta,,,salinero oscar
21,01:42,01:47,"About the importance of the salt? Why is it so necessary?
can you tell us","Sobre ¿Qué importancia tiene la sal? ¿Por qué es tan necesaria?
Puedes decirnos",,,salinero oscar
22,01:48,01:54,"How do you get to work here?
you can comment us now","¿Cómo consiguen ustedes entrar a trabajar acá?
Puedes comentarnos ahora",,,salinero oscar
23,01:58,02:05,"For us, salt is important for food",Para nosotros es importante la sal para la comida,,,salinero oscar
24,02:12,02:16,To help us with the needs,Para que nos ayude con las necesidades,,,salinero oscar
25,02:22,02:26,And what relationship does it have with the environment?,Y ¿qué relación tiene con el ambiente?,,,salinero oscar
26,02:27,02:30,"With the elements, with the rain, with the sea or with the wind","Con los elementos, con la lluvia, con el mar o con el viento",,,salinero oscar
27,02:33,02:39,"The question he asked you is why is salt formed
here and not somewhere else?","La pregunta que te hizo es ¿Por qué se forma la sal
aquí y no en otro lugar?",,,salinero oscar
28,02:40,02:42,Why precisely here?,¿Porque precisamente aquí?,,,salinero oscar
29,02:46,02:48,That I don't know,Eso sí no lo sé,,,salinero oscar
30,02:50,02:54,"Here where the salt is, the sun is hot
and there is breeze right? Yeah.","Acá donde está la sal el sol está caliente
y hay brisa ¿cierto? Si.",,,salinero oscar
31,02:55,03:01,"The sea is salty, but specifically
here it is even saltier","El mar es salado, pero específicamente
aquí es aún más salado",,,salinero oscar
32,03:02,03:08,"So since it is saltier here, there is more sun and breeze when the water passes","Entonces como aquí es mas salado, hay mas sol y brisa al momento de pasar el agua",,,salinero oscar
33,03:09,03:12,"It crystallizes, if you tell us more about it","Se cristaliza, si háblanos más de eso",,,salinero oscar
34,03:13,03:15,You can say it in wayuunaiki too,Puedes decirlo en wayunaiki también,,,salinero oscar
35,03:21,03:28,"It is formed by the sun, the water evaporates and the
breeze is drying it","Se forma por el sol, se evapora el agua y la
brisa la va secando",,,salinero oscar
36,03:29,03:37,When it rains you can't process the salt or anything,Cuando llueve no se puede procesar la sal ni nada,,,salinero oscar
37,03:38,03:43,"But when the sun is very hot we work
more and we earn more","Pero cuando el sol esta muy caliente trabajamos
más y ganamos mas",,,salinero oscar
38,04:02,04:10,"Can you tell us a bit if this came from your grandparents?
Your interest in salt","Puedes contarnos un poco si vino de sus abuelos
el interés por la sal",,,salinero oscar
39,04:11,04:14,How did you get interested? or how did you learn?,¿Como se interesó? o ¿cómo aprendió?,,,salinero oscar
40,04:17,04:23,"Who did you learn this from? because there is always one
who learned it first","¿De quién aprendiste esto? porque siempre hay uno
que lo aprendió primero",,,salinero oscar
41,04:24,04:29,"Yes, was it the job of your grandparents or your parents?",Si ¿era el oficio de tus abuelos o de tus padres?,,,salinero oscar
42,04:30,04:36,"Yes, of course it was the job of our parents.
When we were children our parents","Si claro era el oficio de nuestros padres.
Cuando fuimos niños nuestros padres",,,salinero oscar
43,04:38,04:45,"brought us to learn the job and once learned
we started working on our own and then they retired","nos traían para aprender el oficio y una vez aprendido
empezamos a trabajar por si solos y ellos se jubilaban",,,salinero oscar
44,04:52,04:57,"Many speak of salt as an energy that has
something more spiritual","Muchos hablan de la sal como una energía que tiene
algo más espiritual",,,salinero oscar
45,04:58,05:02,"With the wind and all the elements together, right?",Con el viento y todos los elementos conjuntos ¿no?,,,salinero oscar
46,05:03,05:08,"Does that have a spiritual implication for you?
or is that seen in production somehow?","Eso para ustedes ¿tiene una implicación espiritual?
o ¿se ve eso en la producción de alguna manera?",,,salinero oscar
47,05:09,05:11,About this,Con respecto a esto,,,salinero oscar
48,05:13,05:20,"University students say that salt has a
spiritual connotation in the sense that","Dicen los universitarios que la sal tiene una
connotación espiritual en el sentido de que",,,salinero oscar
49,05:21,05:24,It is used for spiritual purposes,Es utilizado para fines espirituales,,,salinero oscar
50,05:25,05:31,"That in our culture I don't know since salt is
just for food","Eso en nuestra cultura no se ya que la sal es
solo para el alimento",,,salinero oscar
51,05:32,05:39,Because it flavors the food. also for sale,Ya que le da sabor a la comida. También se vende,,,salinero oscar
52,05:40,05:46,"But, our grandparents previously exchanged it.
Yes, they exchanged it with beans, corn","Pero, nuestros abuelos anteriormente lo intercambiaban.
Si, lo intercambiaban con frijol, maíz",,,salinero oscar
53,05:47,05:49,With food like grains,Con alimentos como los granos,,,salinero oscar
54,05:50,05:58,"Now they sell it for money, to buy clothes
or for the school expenses of our children","Ahora lo venden por dinero, para comprar ropas
o para los gastos escolares de nuestros hijos",,,salinero oscar
55,05:59,06:06,"Or we buy our watch, phone or bicycle,
thanks to this job","O compramos nuestro reloj, teléfono o bicicleta,
gracias a este trabajo",,,salinero oscar
56,06:19,06:20,"OK, thanks a lot.",Ok muchas gracias.,,,salinero oscar
57,00:00,00:02,Where are you from Neko?,¿De dónde eres Neko?,,,dunas
58,00:03,00:06,I am from a territory called Akualü,Soy de un territorio llamado Akualü,BRIGHT_GREEN (4),,dunas
59,00:07,00:10,Although the elders call it Manaure,Aunque los mayores lo denominan Manaure,BRIGHT_GREEN (4),,dunas
60,00:11,00:16,"Ah, you came from the wild west and now you're here","Ah, vienes del lejano oeste y ahora estas aquí",BRIGHT_GREEN (4),,dunas
