,Start Time,End Time,EN,ES,Highlight,Comments,Speaker,Interview
0,00:04,00:06,Tell us your name what do you do for living,Dinos su nombre y a que se dedica,,,salinero oscar,salinero oscar
1,00:07,00:10,My name is Oscar Pushaina.,Me llamo Oscar Pushaina,,,salinero oscar,salinero oscar
2,00:11,00:12,And what do you do here?,¿Y a que se dedica acá?,,,salinero oscar,salinero oscar
3,00:13,00:16,I come here to work with salt,Yo vengo acá a trabajar con la sal,,,salinero oscar,salinero oscar
4,00:17,00:22,"Sometimes I arrive here at dawn, at 4 in the morning","A veces yo llego aquí en la madrugada, desde las 4 de la mañana",,,salinero oscar,salinero oscar
5,00:23,00:24,And I leave around ten,Y salgo como a las diez,,,salinero oscar,salinero oscar
6,00:26,00:27,At the very least,Como mínimo,,,salinero oscar,salinero oscar
7,00:28,00:29,And since what age have you worked here?,Y ¿desde que edad ha trabajado acá?,,,salinero oscar,salinero oscar
8,00:31,00:35,I have been here for 25 years,Tengo 25 años de estar acá,,,salinero oscar,salinero oscar
9,00:37,00:41,"Well, and the salt, how is it made? or what is the process?","Bueno, y la sal ¿cómo se hace? o ¿cuál es el proceso?",,,salinero oscar,salinero oscar
10,00:42,00:23,how is it done?,Como se hace,,,salinero oscar,salinero oscar
11,00:45,00:51,The saltwater is poured over there to evaporate there,El agua salada se echa para allá para que evapore ahí,,,salinero oscar,salinero oscar
12,00:52,00:57,And then it is passed here so that it curdles here,Y luego se pasa aquí para que se cuaje aquí,,,salinero oscar,salinero oscar
13,00:58,00:59,And the crystal is formed,Y se formule el cristal,,,salinero oscar,salinero oscar
14,01:00,01:05,And how important is that mineral in your life?,Y ¿qué importancia tiene ese mineral en su vida?,,,salinero oscar,salinero oscar
15,01:10,01:15,Can you be more specific about the question?,Puede ser más puntual con respecto a la pregunta,,,salinero oscar,salinero oscar
16,01:17,01:21,"When did you start working here? Yeah
Did you start small or what?","Sobre ¿Cuándo empezó a trabajar acá? Si
¿comenzaste desde pequeño o qué?",,,salinero oscar,salinero oscar
17,01:22,01:24,Well I said that I have been here for 25 years,Bueno yo dije que tengo 25 años acá,,,salinero oscar,salinero oscar
18,01:25,01:30,"Yes, but could you tell us from what age did you start?
And then how long have you been here?","Si, pero podrías decirnos ¿desde que edad empezaste?
Y luego ¿Cuánto llevas acá?",,,salinero oscar,salinero oscar
