Start Time,End Time,EN,ES,Highlight,Comments,Speaker
00:00:00:24,00:00:01:23,Well.,Bueno.,,,ana
00:00:02:21,00:00:04:23,Can you explain to me what the project is that you're setting up here?,Me puede explicar qué es el proyecto,,,ana
00:00:04:24,00:00:08:07,That you're setting up here?,que están montando acá?,,,ana
00:00:09:04,00:00:11:19,"Well, we have a project.","Bueno, tenemos un proyecto.",,,ana
00:00:11:20,00:00:13:27,We have a store.,tenemos una tienda,,,ana
00:00:13:29,00:00:16:08,They call it xxx.,Que le dicen xxx,,,ana
00:00:17:23,00:00:20:15,xxx is...,xxx es,,,ana
00:00:20:22,00:00:21:03,Well.,bueno.,,,ana
00:00:21:03,00:00:23:18,"This project is called ""Threads for xxx"" (Má).",Este proyecto se llama hilos por xxx (Má),,,ana
00:00:25:14,00:00:28:01,And this project,y este proyecto,,,ana
00:00:29:09,00:00:34:23,"involves fabrics, backpacks, various kinds of backpacks.","de tejidos, mochilas, varias clases de mochila",,,ana
00:00:36:05,00:00:40:23,"And well, where we are right now,","y bueno, donde estamos aquí ahora,",,,ana
00:00:40:24,00:00:43:29,this is where the people live,es aquí donde vive la gente,,,ana
00:00:44:00,00:00:46:22,that we partner with to do,"que nos asociamos para hacer,",,,ana
00:00:47:27,00:00:50:21,this project,este proyecto,,,ana
00:00:51:22,00:00:54:11,"which is about, which is about the backpack,","que es de, que es de la mochila,",,,ana
00:00:55:02,00:00:57:04,we do an exchange,hacemos intercambio,,,ana
00:01:00:11,00:01:04:24,of recycling and all that it involves.,de reciclaje y todo eso que tiene que ver.,,,ana
00:01:05:22,00:01:08:24,"And well,","Y bueno,",,,ana
00:01:08:25,00:01:12:17,"we do this for the good of our community,","eso lo hacemos por el bien de nuestra comunidad,",,,ana
00:01:13:08,00:01:16:22,a cleanup.,una limpieza.,,,ana
00:01:18:00,00:01:20:22,"And that's why it says ""Threads for xxx.""",y por eso es que dice hilos por xxx.,,,ana
00:01:22:09,00:01:24:22,It's for the good of,Que es por el bien de,,,ana
00:01:24:23,00:01:30:05,"our community, our land.
And here, you can see a lot of","nuestra comunidad, nuestra tierra.
y aquí se ve mucho el,",,,ana
00:01:31:13,00:01:32:17,"this,","éste,",,,ana
00:01:33:20,00:01:36:10,the pollution that,La contaminación que,,,ana
00:01:37:12,00:01:40:05,"is very common in La Guajira,",se ve mucho aquí en la Guajira,,,ana
00:01:40:06,00:01:43:03,and that's why we are working on,y entonces por eso es que estamos trabajando en,,,ana
00:01:43:04,00:01:46:04,"that, on this project,","eso, en ese proyecto",,,ana
00:01:46:05,00:01:48:13,"and well, we are happy.",y bueno estamos contentos.,,,ana
00:01:49:24,00:01:52:08,"What is pollution, what kind of pollution?","¿Que es la contaminación, cual contaminación?",,,ana
00:01:53:06,00:01:56:04,"Well, when we talk about pollution,","Bueno, cuando hablamos de contaminación",,,ana
00:01:56:07,00:02:00:18,"it's related to garbage,","Es lo que tiene que ver con la basura,",,,ana
00:02:01:07,00:02:06:03,"with papers, everything related to consumerism,","con los papeles, lo que tiene que ver con el consumismo",,,ana
00:02:07:15,00:02:08:19,and that,y eso,,,ana
00:02:09:06,00:02:13:16,"and well, we're trying to collect all of that and","y bueno, estamos tratando de recoger todo eso y",,,ana
