Start Time,End Time,EN,ES,Highlight,Comments,Speaker
00:00:01:12,00:00:02:14,praying.,Rezando.,,,eliana
00:00:03:08,00:00:05:04,Still.,Aún.,,,eliana
00:00:05:15,00:00:06:18,Why would that be?,Porque será,,,eliana
00:00:09:04,00:00:10:11,ok from here,"Bueno desde aquí,",,,eliana
00:00:10:11,00:00:13:23,"from my point of view,","desde mi punto de vista,",,,eliana
00:00:13:23,00:00:19:06,"You know, the quartzes. The rocks? of course, the salt too,","Sabes, los cuarzos. ¿Las rocas? claro, la sal también,",,,eliana
00:00:19:06,00:00:21:15,it is also part of the quartz.,también hace parte de los cuarzos.,,,eliana
00:00:22:18,00:00:24:12,So,Entonces,,,eliana
00:00:25:16,00:00:27:02,what's in the salt,lo que hay en la sal,,,eliana
00:00:27:02,00:00:29:05,is that union of the four elements,es esa unión de los cuatro elementos,,,eliana
00:00:31:02,00:00:33:09,"water, earth, air","el agua, la tierra, el aire",,,eliana
00:00:34:01,00:00:36:18,"and the fire, which is through the sun,","y el fuego, que es a través del sol,",,,eliana
00:00:36:18,00:00:40:09,So it is the union of those four elements where the energy,Entonces es la unión de esos cuatro elementos donde la energía,,,eliana
00:00:41:17,00:00:44:14,"is in a positive way, that is, the four elements","es de manera positiva, o sea los cuatro elementos",,,eliana
00:00:44:14,00:00:46:22,"in one, in a single mineral.","en una, en un solo mineral.",,,eliana
00:00:48:00,00:00:51:00,"So,","Entonces,",,,eliana
00:00:51:00,00:00:54:21,I think that also enhances,creo que eso también potencializa,,,eliana
00:00:56:05,00:00:59:16,"what one trusts or believes, right?","en lo que uno confía o cree, ¿cierto?",,,eliana
00:01:00:03,00:01:03:06,It's essentially about having faith.,Es más que todo acerca de tener fe,,,eliana
00:01:03:06,00:01:05:24,"and as I told you, the energies","y como le dije, las energías",,,eliana
00:01:08:21,00:01:10:00,like,cómo si,,,eliana
00:01:10:00,00:01:13:06,"Any, that is,
because sometimes we buy a normal little quartz","Cualquier, ósea,
porque a veces compramos un cuarcito normal",,,eliana
00:01:13:14,00:01:17:01,"and we have so much faith
that it will cleanse our energies, it will","y le tenemos tanta fe
de que nos va a limpiar las energías, nos va",,,eliana
00:01:18:15,00:01:21:02,push away everything negative,a alejar lo negativo,,,eliana
00:01:21:02,00:01:23:09,look at this mineral that we have here,que mire este mineral que tenemos aquí,,,eliana
00:01:24:12,00:01:26:24,and have it in quantity,y tenerlo en cantidad,,,eliana
00:01:27:07,00:01:29:04,I think it works too.,Creo que también funciona.,,,eliana
00:01:30:00,00:01:32:04,"Well, that depends on each person.","Bueno, eso depende de cada persona,",,,eliana
00:01:32:04,00:01:35:08,From each person's perspective.,De la perspectiva de cada persona.,,,eliana
00:01:35:17,00:01:37:20,"Well, it's a bit of a blessing, isn't it?",¿Pues es una bendición un poco no?,,,eliana
00:01:37:20,00:01:43:14,"Each place has this amount of this mineral
so useful and important","Cada lugar tiene esta cantidad de este mineral
tan útil e importante",,,eliana
00:01:43:15,00:01:44:12,For humans.,Para los humanos.,,,eliana
00:01:47:20,00:01:53:05,"Well, I mean for people who believe mainly in the energies,","Pues, o sea para las personas que creen más
que todo en las energías,",,,eliana
00:01:54:10,00:02:00:18,yes it is very important,"sí es muy importante,",,,eliana
00:02:00:18,00:02:03:05,"I mean, is life.",o sea es vida.,,,eliana
00:02:04:15,00:02:08:11,"Salt is life because they are the four elements
that enhance our life","La sal es vida porque son los cuatro elementos
que nos potencializan la vida",,,eliana
00:02:09:14,00:02:14:22,"and salt is life, it is energy, it is cleanliness, it is purity.","y la sal es vida, es energía, es limpieza, es pureza.",,,eliana
00:02:16:16,00:02:18:07,Sometimes they say that if something bad has happened to you,"A veces dicen, no? “y que te paso algo",,,eliana
00:02:18:07,00:02:20:14,"You should go and throw yourself and throw yourself,","Malo?, bueno anda y tírate y tírate,",,,eliana
00:02:21:19,00:02:24:05,"go and throw yourself back into the sea,","anda y tírate de espaldas al mar”,",,,eliana
00:02:25:01,00:02:27:11,"because according (to them), the sea, the sea is going to take away","porque según (ellos) el mar, el mar nos va a quitar",,,eliana
00:02:27:11,00:02:30:06,"all the negativity, right?","todo lo negativo, Cierto,",,,eliana
00:02:30:22,00:02:35:04,"all the negativity you are going through.
take a dip in the sea, and ready,","todo lo negativo por lo que vamos pasando al
echarnos un chapuzón en el mar, listo,",,,eliana
00:02:36:23,00:02:38:07,according to beliefs.,según las creencias.,,,eliana
00:02:38:07,00:02:41:06,Each person has their different beliefs.,Cada persona tiene sus creencias diferente.,,,eliana
00:02:41:06,00:02:43:16,What do you think?,¿Tú qué crees?,,,eliana
00:02:43:22,00:02:47:20,Well... it's complex.,Pues… es complejo.,,,eliana
00:02:48:01,00:02:50:02,I believe in everything,Yo creo en todo,,,eliana
00:02:50:23,00:02:55:19,"because you have to respect, but I do believe that,","porque hay que respetar, pero sí creo que,",,,eliana
00:02:56:02,00:02:59:20,which is a fundamental part,que es parte fundamental,,,eliana
00:03:00:19,00:03:05:16,of cleaning and purifying our energy.,de la limpieza y la purificación de nuestra energía.,,,eliana
00:03:06:03,00:03:10:14,"I have my salt jars there
and anytime I feel bad or","Yo tengo allá mis frasquitos de sal
y en cualquier momento que me sienta mal o",,,eliana
00:03:11:15,00:03:13:20,"I put it on my feet,","me echo en los pies,",,,eliana
00:03:15:00,00:03:19:16,"In a bucket with water I put a little salt
or leave it in one part","En un baldecito con agua me echo un poquito de sal
o lo dejo en una parte",,,eliana
00:03:20:03,00:03:23:11,"just for, for…","solamente para, para…",,,eliana
00:03:23:13,00:03:26:16,"I leave it in a part as for,","Lo dejo en una parte como para,",,,eliana
