Start Time,End Time,EN,ES,Highlight,Comments,Speaker
00:02:25:08,00:02:28:10,"Can you explain to me, who are you and what do you do?","Me puede explicar, ¿quién es usted y qué hace?",,,healing woman
00:02:28:11,00:02:32:01,And what ritual are we going to do? anas alika,Y ¿cuál ritual vamos a hacer? Anas aliika,,,healing woman
00:02:32:25,00:02:34:14,Good afternoon.,Muy buenas tardes.,,,healing woman
00:02:34:15,00:02:35:26,my name is,mi nombre es,,,healing woman
00:02:35:27,00:02:38:12,"Teolinda, Wayuu Epiayu","Teolinda, wayuu Epiayu",,,healing woman
00:02:39:01,00:02:43:02,My name is Teolinda from the clan of Epinayu,Mi nombre es Teolinda del clan de Epinayu,,,healing woman
00:02:43:03,00:02:48:05,"I am from the walapuinje ranch which means “dreams and interpretations”,","Soy de la ranchería walapuinje que significa sueños e interpretaciones,",,,healing woman
00:02:48:06,00:02:50:06,dreams.,sueños.,,,healing woman
00:02:50:07,00:02:53:09,Today I am going to tell you about traditional medicine,Hoy en día les voy a comentar sobre la medicina tradicional,,,healing woman
00:02:53:19,00:02:56:06,that I inherited from my grandmother.,que he heredado de mi abuela.,,,healing woman
00:02:57:19,00:02:59:15,As we know,Cómo podemos saber,,,healing woman
00:02:59:16,00:03:04:09,"here it is very difficult for one to run towards
a doctor or a health center,","acá es muy difícil para uno correr hacia
un médico o a un centro de salud,",,,healing woman
00:03:04:29,00:03:09:28,"so as we are growing up, our grandmothers taught us to purify","entonces en la etapa de desarrollo, nuestras abuelas nos enseñaron a purificar",,,healing woman
00:03:10:03,00:03:12:20,"and they taught us about traditional medicine,","y nos enseñaron sobre la medicina tradicional,",,,healing woman
00:03:13:00,00:03:16:06,how we could cure one of our children.,cómo podemos curar un hijo de nosotros.,,,healing woman
00:03:17:00,00:03:20:11,"For example, when the child has diarrhea, we can give him","Por ejemplo, cuando el niño tiene diarrea, podemos dar lo que es",,,healing woman
00:03:21:26,00:03:22:22,jawapi a medicinal plant,jawapi una planta medicinal,,,healing woman
00:03:22:22,00:03:27:18,"the jawapi, which is a medicinal plant, helps a lot","la jawapi, que es una planta medicinal ayuda mucho",,,healing woman
00:03:27:21,00:03:33:04,to clean the child's organism and that diarrhea can stop and can also,para limpiar el organismo del niño y que esa diarrea pueda detenerse y ayuda,,,healing woman
00:03:33:05,00:03:38:28,"help to clean as if it were a chamomile, but it is a jawapia, made with medicinal plants","también a limpiar como si fuera una manzanilla, pero es una jawapia, hecho con plantas medicinales",,,healing woman
00:03:39:24,00:03:44:09,and also when the child has a fever or diarrhea or vomiting,y también para cuando el niño tiene fiebre o diarrea o vómito,,,healing woman
00:03:44:17,00:03:49:02,"We also have this medicine here, we make it,","también tenemos la medicina que es esta, la hacemos,",,,healing woman
00:03:49:03,00:03:52:16,we take and start right here with the stone,cogemos y empezamos acá mismo con la piedra,,,healing woman
00:03:55:13,00:03:56:07,and we put it,y la echamos,,,healing woman
00:03:56:07,00:03:59:08,in this totumito (container) and we give the baby a drink.,en este totumo y le damos de beber al bebé.,,,healing woman
00:03:59:25,00:04:02:03,It also helps scare away bad energy.,Ayuda también a espantar malas energías.,,,healing woman
00:04:03:29,00:04:05:03,What plant is it?,¿Cuál planta es?,,,healing woman
00:04:05:04,00:04:07:09,This is called kalenasee,Esto se llama kalenasee,,,healing woman
