Start Time,End Time,EN,ES,Highlight,Comments,Speaker
00:00:00:20,00:00:04:18,"Tanülia tayakai Joaquín Ramón Prince
(My name is Joaquín Ramón Prince)",Tanülia tayakai Joaquín Ramón Prince,,,joaquin
00:00:04:20,00:00:08:00,"Jayariyu, tayakai
(I am a musician)","Jayariyu, tayakai",,,joaquin
00:00:08:21,00:00:11:21,"Ekirajüi tepichi sunain tüü wemirakat.
(And I work in a training process)",Ekirajüi tepichi sunain tüü wemirakat.,,,joaquin
00:00:13:04,00:00:15:01,"Sünain tüü weinrankat,
(With Wayuu children)","Sünain tüü weinrankat,",,,joaquin
00:00:15:01,00:00:18:01,"Sunain tüü wakuwaipakat sunai tüü
(From the Wayuu community)",Sunain tüü wakuwaipakat sunai tüü,,,joaquin
00:00:18:04,00:00:18:18,"Supushuakat
(Through dance)",Supushuakat,,,joaquin
00:00:18:18,00:00:23:05,"Sulukat tüü woumainkat tuvo un mal trato y se robó mi mano
(To preserve and maintain our music)",Sulukat tüü woumainkat tuvo un mal trato y se robó mi mano,,,joaquin
00:00:23:19,00:00:28:02,"Ani taya ya´ya sunai tüü tekirajüin naa tepichikana sunain tüü ontoroyoi
(and the harmony of the Wayuu people)",Ani taya ya´ya sunai tüü tekirajüin naa tepichikana sunain tüü ontoroyoi,,,joaquin
00:00:28:11,00:00:32:01,"Maasi, sawawa, turompa
(such as the Ontoroyoi, Sawawa, Maasi, Turompa, and Kasha)","Maasi, sawawa, turompa",,,joaquin
00:00:32:01,00:00:35:02,"Sunain tüü yonna suma tüü jieyu ekirajaka ya´ya tüü wakuwaipakat
(I am a cultural promoter)",Sunain tüü yonna suma tüü jieyu ekirajaka ya´ya tüü wakuwaipakat,,,joaquin
00:00:36:05,00:00:37:13,"Well, my name.",Bueno mi nombre.,,,joaquin
00:00:37:13,00:00:40:13,"I'll speak in my Wayunaiki language first,","Hable en mi lengua Wayunaiki primero,",,,joaquin
00:00:40:16,00:00:42:08,I said that,dije que,,,joaquin
00:00:42:08,00:00:44:09,my name is Joaquín Ramón,mi nombre es Joaquín Ramón,,,joaquin
00:00:44:09,00:00:47:11,"Prince Bruges of Clan, from the Jayariyu eiruku.","Prince Bruges de Clan, del eiruku Jayariyu.",,,joaquin
00:00:48:21,00:00:50:18,"I'm a musician,","Soy músico,",,,joaquin
00:00:50:18,00:00:53:02,"I'm a cultural manager,","soy gestor cultural,",,,joaquin
00:00:53:02,00:00:55:20,"I've been working on an educational process
with Wayuu children","vengo trabajando un proceso de formación
con niños wayuu",,,joaquin
00:00:55:20,00:00:59:04,"here in this space that you see, and there are also other spaces",acá en este espacio que ustedes ven y hay también otros espacios,,,joaquin
00:01:00:01,00:01:02:07,to preserve and maintain the music,para conservar y mantener la música,,,joaquin
00:01:02:07,00:01:05:14,"and harmony of the Wayuu people through dance,","y la armonía del pueblo wayuu a través de la danza,",,,joaquin
00:01:05:19,00:01:10:04,"art, songs, and musical instruments",el arte y los cantos y los instrumentos musicales,,,joaquin
00:01:10:04,00:01:14:06,"of the Wayuu, such as the Ontoroyoi, Sawawa, Maasi, Turompa, and Kasha.","wayuu, como el Ontoroyoi, Sawawa, Maasi, Turompa y Kasha.",,,joaquin
00:01:16:17,00:01:19:16,"Well, I will","Yo bueno, voy a",,,joaquin
00:01:20:00,00:01:22:03,speak my language again.,hablar otra vez mi lengua,,,joaquin
00:01:22:03,00:01:25:03,"Wayakana shipi´jala tüü mmakat.
(Wayakana shipi´jala tüü mmakat)",Wayakana shipi´jala tüü mmakat.,,,joaquin
00:01:26:05,00:01:29:05,"Esü wunu´u, esü mürüt
(I am a musician, I am a cultural promoter)","Esü wunu´u, esü mürüt",,,joaquin
00:01:30:00,00:01:32:00,"Esü uchi,","Esü uchi,",,,joaquin
00:01:32:00,00:01:34:19,"esü wayuu,","esü wayuu,",,,joaquin
00:01:34:19,00:01:37:19,Wayakana yashi sulu´u tüü woumaikat,Wayakana yashi sulu´u tüü woumaikat,,,joaquin
00:01:37:23,00:01:41:14,"tüü woumainkat nojotsü wakoroloin, waya sukorolo tüü mmakat","tüü woumainkat nojotsü wakoroloin, waya sukorolo tüü mmakat",,,joaquin
00:01:42:20,00:01:45:11,"werüin tüü, palajana, antushi","werüin tüü, palajana, antushi",,,joaquin
00:01:45:11,00:01:48:11,chi juyakai sulu´u tüü wouman tüü mmakat,chi juyakai sulu´u tüü wouman tüü mmakat,,,joaquin
00:01:49:12,00:01:52:12,chi juyakai nia Chi watushikai,chi juyakai nia Chi watushikai,,,joaquin
00:01:53:09,00:01:56:09,tüü mmakat shia weika woushi,tüü mmakat shia weika woushi,,,joaquin
00:01:56:17,00:01:59:17,anchi jolu aijuin tüü wunu´ukat,anchi jolu aijuin tüü wunu´ukat,,,joaquin
00:01:59:20,00:02:04:20,supula nanjuin tüü weirainkat sünain tüü jo´utai,supula nanjuin tüü weirainkat sünain tüü jo´utai,,,joaquin
