Start Time,End Time,EN,ES,Highlight,Comments,Speaker
00:02,00:07,"Good morning, my name is Magalys Polanco,
of Pausayu lineage from usijo'jewat","Buenos días, mi nombre es Magalys Polanco,
de linaje Pausayu proveniente de usijo´jewat",,,magalys
00:10,00:17,"I am here to talk to you about the role of
the woman within the wayuu people","Acá estoy para hablarles sobre el papel de
la mujer dentro del pueblo wayuu",,,magalys
00:18,00:24,The woman in our culture is the base of everything,La mujer en nuestra cultura es la base de todo,,,magalys
00:29,00:34,"Women are the basis of our existence
same as wayuu","La mujer es la base de nuestra existencia
misma como wayuu",,,magalys
00:35,00:36,Because we are,Porque nosotras somos,,,magalys
00:40,00:49,"The generators of lives, we guide our
children to maintain us as a people","Las generadoras de vidas, guiamos a nuestros
hijos para que nos mantengan como pueblo",,,magalys
00:50,00:57,"That's why we are sacred and with great value
within our culture","Por eso nosotras somos sagradas y con gran valor
dentro de nuestra cultura",,,magalys
00:59,01:07,"Because we are transmitting from generation to generation
in generation our legacy as wayuu","Porque nosotras vamos trasmitiendo de generación
en generación nuestro legado como wayuu",,,magalys
01:11,01:14,"From them comes, for example","De ellas proviene, por ejemplo",,,magalys
01:18,01:26,"Our social organization, as well as me who
I am from the Pausayu lineage","Nuestra organización social, así como yo que
soy del linaje Pausayu",,,magalys
01:29,01:35,"We will always be of our mother's lineage
because it is from her that we come","Siempre seremos del linaje de nuestra madre
porque de ella es que provenimos",,,magalys
01:36,01:43,That is why we do not carry the lineage of our father but of our mother.,Por eso nosotros no llevamos el linaje de nuestro padre sino de nuestra madre,,,magalys
01:45,01:53,"In addition, women are formative mothers because they are
those who guide children from an early age","Además, las mujeres son madres formadoras porque son
las que orientan a los niños desde pequeños",,,magalys
01:56,02:01,"They train children, instill in them values","Ellas forman a los niños, les inculca valores",,,magalys
02:04,02:07,And he instills principles in them from childhood.,Y les inculca principios desde niños.,,,magalys
02:09,02:15,"That is, women have many roles
essential in our culture","Es decir, la mujer tiene muchos roles
fundamentales en nuestra cultura",,,magalys
02:17,02:24,"We form from our womb, we
we breastfeed and then take care of them and raise them","Nosotras formamos desde nuestro vientre, les
damos nuestro pecho para luego cuidarlos y criarlos",,,magalys
02:26,02:34,"We teach them about the different roles and
trades within our territory","Les enseñamos sobre los distintos roles y
oficios dentro de nuestro territorio",,,magalys
02:36,02:44,"And in our house, how to look for water, wash
and other chores","Y en nuestra casa, como buscar agua, lavar
y demás quehaceres",,,magalys
02:45,02:46,Both at home and in general,Tanto de la casa como en general,,,magalys
02:47,02:52,"How to help graze, to get the milk.","Como ayudar a pastorear, a sacar la leche.",,,magalys
02:54,02:57,Teach him to be immersed with animals,Enseñarle a estar inmersos con los animales,,,magalys
03:00,03:06,"teach girls how to make
hammocks and backpacks","a las niñas enseñarle la elaboración de
chinchorros y de mochilas",,,magalys
03:09,03:13,"The woman herself is the base of everything because she is
the one with more roles than the man","La mujer en si es la base de todo porque es
la que tiene más roles que el hombre",,,magalys
03:14,03:21,"Although man also plays a role that in
In this case, the maternal uncle is the one who advocates for the family","Aunque el hombre también cumple un rol que en
este caso el tío materno es el que aboga por la familia",,,magalys
03:23,03:27,"He is the one who sits down to solve a
conflict through dialogue","Él es el que se sienta para resolver un
conflicto a través del dialogo",,,magalys
03:28,03:32,"And we also instilled that in them, that they have to
respect your uncles","Y también les inculcamos eso, que tienen que
respetar a sus tíos",,,magalys
03:34,03:35,We tell our children,Se lo decimos a nuestros hijos,,,magalys
03:37,03:39,we too,nosotras también,,,magalys
03:40,03:47,"We train our girls when they become
ladies we can do it mothers or grandmothers","Formamos a nuestras niñas cuando se convierten en
señoritas podemos hacerlo las madres o las abuelas",,,magalys
03:48,03:56,"We take care of her and guide her in the ritual of confinement
in her first menstruation","La cuidamos y orientamos en el ritual del encierro
en su primera menstruación",,,magalys
03:57,04:01,"And he is taken out of the house until he finishes his
first menstruation","Y se saca de la casa hasta que termine su
primera menstruación",,,magalys
04:02,04:08,"During and after this ritual you are given some
Wayuu medicinal plants","Durante y después de ese ritual se le da unas
plantas medicinales wayuu",,,magalys
04:09,04:13,And they are our jobs as Wayuu women,Y son nuestros oficios como mujeres wayuu,,,magalys
04:14,04:18,"When our daughters grow up, you are ready.
for marriage","Cuando nuestras hijas crecen ya estas listas
para el matrimonio",,,magalys
04:21,04:28,"They get married, the man asks for her hand if he sees that it is
a good woman","Se casan, el hombre pide su mano si ve que es
una buena mujer",,,magalys
04:31,04:37,"It is there where the maternal uncle or his father sits at
discuss commitment","Es ahí donde el tío materno o su padre se sienta a
dialogar sobre el compromiso",,,magalys
04:39,04:44,"To agree to agreements in order to close the commitment
before the wedding","A pactar acuerdos para así cerrar el compromiso
previo a la boda",,,magalys
04:48,04:50,That's one of the uncle's roles,Ese es uno de los roles del tío,,,magalys
04:52,04:54,"Another thing, a woman","Otra cosa, una mujer",,,magalys
04:55,04:59,When there is a conflict,Cuando hay algún conflicto,,,magalys
05:00,05:06,You must find a way to soften men,Debe buscar la manera de ablandar a los hombres,,,magalys
05:07,05:11,She is the one who knows how to talk to them and how to appease their anger,Es la que sabe como hablarles y como apaciguar su enojo,,,magalys
05:12,05:19,"You need to tell them it's not okay to be in conflict
should never aggravate the problem but the opposite","Debe decirles que no está bien estar en conflicto
nunca debe agravar el problema sino lo contrario",,,magalys
05:21,05:27,"Women should always talk to men
as well as their children in the midst of some problem","Las mujeres siempre deben hablarles a los hombres
así como a sus hijos en medio de algún problema",,,magalys
05:29,05:34,"She must always emphasize to them that she is not
okay to be in conflict with others","Ella siempre debe recalcarles que no esta
bien estar en conflicto con otros",,,magalys
05:36,05:44,"That's why she's always willing to solve it
to give their jewels as a reward","Por eso para resolverlo siempre esta dispuesta
a dar sus joyas como recompensa",,,magalys
05:45,05:51,"She says here I have my animals so that
reward the problem and thus be in harmony","Ella dice acá tengo mis animales para que
recompense el problema y así estar en armonía",,,magalys
05:52,05:57,"and this is more or less the role of women
in the wayuu culture","y así es mas o menos el rol de la mujer
en la cultura wayuu",,,magalys
05:59,06:02,When our daughters have their husband,Cuando nuestras hijas tengan su esposo,,,magalys
06:06,06:12,We must look for his uncle or his father if there is none,Debemos buscar a su tío o a su padre si no lo hay,,,magalys
06:13,06:17,"To be the representative of the family
in the commitment","Para que sea el representante de la familia
en el compromiso",,,magalys
06:18,06:26,The mother tells her brother about the marriage proposal,La madre le comenta a su hermano sobre la pedida de mano,,,magalys
06:27,06:35,"So, he must ask for the dowry for the bride, that is, animals.","Entonces, el debe pedir la dote por la novia, es decir, animales",,,magalys
06:37,06:44,"The necklaces, cows, goats among others.","Los collares, vacas, chivos entre otras.",,,magalys
06:45,06:48,Although I emphasize that in ancient times mules were requested,Aunque resalto que en la antigüedad se pedía mulas,,,magalys
06:51,06:59,"I clarify that this is not buying the woman but
gain respect in the bride's family","Aclaro que eso no es comprar a la mujer sino
ganarse el respeto en la familia de la novia",,,magalys
07:01,07:10,"What man buys are animals and
goods to be respected and valued","Lo que compra el hombre son los animales y los
bienes para ser respetado y valorado",,,magalys
07:11,07:18,"In his wife's family, that's why it's important
delivery of the dowry by the man","En la familia de su esposa, por eso es importante
la entrega de la dote por parte del hombre",,,magalys
07:19,07:25,"If the man does not give the dowry, he is not valued or respected","Si el hombre no da la dote, no es valorado ni respetado",,,magalys
07:27,07:29,Is that how it works,Así es como funciona,,,magalys
07:30,07:34,When a woman gets married,Cuando una mujer contrae matrimonio,,,magalys
07:35,07:41,"Well, now I'm going to talk about my trade","Bueno, ahora les voy a hablar sobre mi oficio",,,magalys
07:43,07:51,"I have been working on something for 10 years when I went
India","Yo llevo 10 años trabajando en algo cuando fui
a la india",,,magalys
07:55,07:58,Ten years ago when I went to India,Hace diez años cuando fui a la India,,,magalys
07:59,08:04,I lived there for six months,Dure seis meses vi viviendo allá,,,magalys
08:05,08:06,I was gone,Me había ido,,,magalys
08:09,08:14,"To embark on a new experience during the
time I was","Para emprender una nueva experiencia durante el
tiempo que estuve",,,magalys
08:17,08:23,"I went to take a course where we teach you
Of electricity","Fui a realizar un curso de en donde nos enseñaros
de electricidad",,,magalys
08:24,08:27,I learned to make a lamp,Aprendí a hacer una lampara,,,magalys
08:29,08:37,"I learned how to make a controller, one that works
through solar energy","Aprendí a hacer un control, uno que funcionara
a través de energía solar",,,magalys
08:38,08:41,"By means of a battery, that was what I learned there","Por medio de una batería, eso fue lo que aprendí allá",,,magalys
08:44,08:52,"Although it was very difficult for me because I didn't
knew the language of the Hindus","Aunque fue muy difícil para mí porque no
sabía la lengua de los hindúes",,,magalys
08:53,09:00,"It got very complicated for me, but I made signs to
communicate with them","Se me complico mucho, pero hacia señas para
comunicarme con ellos",,,magalys
09:01,09:04,"And thanks to that I learned a lot of things from
there and of the Hindus","Y gracias a eso aprendí muchas cosas de
allá y de los hindúes",,,magalys
09:06,09:13,"And when I got back from India they told me I had to
bring electricity to my community","Y cuando regresara de la india me dijeron que debía
traer la electricidad a mi comunidad",,,magalys
09:17,09:20,And they sent me materials for that,Y me enviaron materiales para eso,,,magalys
09:21,09:27,As for 75 families in the community,Como para 75 familias de la comunidad,,,magalys
09:28,09:36,"Although it took 2 years to get there because I
sent by boat to the community","Aunque duro 2 años para llegar porque me lo
enviaron en lancha hacia la comunidad",,,magalys
09:39,09:42,"And with what the arijunas gave us
(people from other cultures)","Y con eso que nos entregaron los arijunas
(personas de otras culturas)",,,magalys
09:45,09:52,I organized everything so that each family had solar energy,Organicé todo para que cada familia tuviera energía solar,,,magalys
09:56,10:00,"Although now they are no longer working almost because
it's already years old","Aunque ahora ya no están funcionando casi porque
ya tiene años",,,magalys
10:01,10:06,The batteries are already worn out and old.,Ya están desgastadas y viejitas las baterías,,,magalys
10:07,10:13,"Although we are already looking for help
with new batteries","Aunque ya estamos buscando para que nos ayuden
con nuevas baterías",,,magalys
10:17,10:26,"However, for now we will be without power. we came back
to how we were before without energy with nothing","Sin embargo, por ahora estaremos sin luz. Volvimos
a como estábamos antes sin energía sin nada",,,magalys
10:29,10:34,Although my wish is that we have energy again,Aunque mi deseo es que volvamos a tener energía,,,magalys
10:35,10:40,"So that the children do not suffer at night
to do homework and so on","Para que los niños no sufran en las noches
para hacer tareas y demás",,,magalys
10:41,10:49,"'Cause children in the dark can't do
nothing to advance with your studies","Porque los niños en la oscuridad no pueden hacer
nada para avanzar con sus estudios",,,magalys
10:51,10:56,"And I would like some foundation or organization
Will help us","Y yo si quisiera que alguna fundación u organización
nos ayudara",,,magalys
10:57,11:05,"For the energy to return, because I am willing
to do everything possible to achieve it","Para que la energía vuelva, porque estoy dispuesta
a hacer lo posible para lograrlo",,,magalys
11:06,11:12,"For my community, I just need some materials
like batteries","Por mi comunidad, solo necesito algunos materiales
como las baterías",,,magalys
11:14,11:17,Because the rest is,Porque ya lo demás está,,,magalys
11:18,11:25,"However, I am happy to have brought the
source of solar energy to my community","Sin embargo, me siento feliz por haber traído la
fuente de energía solar a mi comunidad",,,magalys
11:26,11:28,That same one I instill in the children of now,Ese mismo se los inculco a los niños de ahora,,,magalys
11:30,11:37,"That is, I teach them how devices work like
circuit boards","Es decir, les enseño como funcionan los aparatos como
las placas de circuito",,,magalys
11:38,11:42,And the children really like being taught,Y a los niños les gusta mucho que los enseñan,,,magalys
11:43,11:48,"Well, that's what I can share with you.
that experience","Bueno, eso es lo que les puedo compartir de
esa experiencia",,,magalys
12:21,12:26,In our culture women have an important value,En nuestra cultura la mujer tiene un valor importante,,,magalys
