Start Time,End Time,EN,ES,Highlight,Comments,Speaker
00:01:06:08,00:01:08:14,Can you explain what you are doing?,¿Puedes explicar lo que estás haciendo?,,,magalys
00:01:08:14,00:01:11:14,This is a portable lamp.,A esta es una lámpara portátil.,,,magalys
00:01:11:15,00:01:13:15,A Solar LED lamp,Una lámpara Solar.,,,magalys
00:01:16:01,00:01:19:01,Well this is what we did,"Bueno, esto es lo que hicimos",,,magalys
00:01:19:19,00:01:22:14,in India.,en la India.,,,magalys
00:01:22:14,00:01:25:14,"I can put together this plate,","Yo puedo armar esta placa,",,,magalys
00:01:26:20,00:01:29:20,but since the batteries are already there.,pero como las baterías ya están.,,,magalys
00:01:31:09,00:01:32:14,"With this lot,","Con este solar,",,,magalys
00:01:32:14,00:01:35:14,this lamp charges,se carga esta lámpara,,,magalys
00:01:37:00,00:01:38:18,"From the sunlight,","de la luz solar,",,,magalys
00:01:38:18,00:01:41:17,This one is 10 volts.,este es diez voltios.,,,magalys
00:01:41:17,00:01:43:12,"Yeah,","Sí,",,,magalys
00:01:43:12,00:01:46:20,10 volts and 7 amperes,de diez voltios y siete de amperaje.,,,magalys
00:01:53:05,00:01:55:21,"I,",Yo,,,magalys
00:01:55:21,00:01:58:21,From India I learned to assemble.,de la India aprendí a armar.,,,magalys
00:01:59:04,00:02:02:04,This is the plate of this lamp,Esta es la placa de esta lámpara,,,magalys
00:02:03:17,00:02:06:17,that I can put together myself.,que yo misma puedo armar.,,,magalys
00:02:06:18,00:02:08:07,These are the components.,Estos son los componentes.,,,magalys
00:02:08:07,00:02:11:07,These are the components.,Estos son los componentes.,,,magalys
00:02:11:12,00:02:14:12,"Yes, they are the components.","Sí, son los componentes.",,,magalys
00:02:14:21,00:02:17:10,Here are the resistors.,Aquí están las resistencias.,,,magalys
00:02:17:10,00:02:20:00,These are resistors.,Estas son resistencias.,,,magalys
00:02:20:00,00:02:23:00,"These are,","Estos son,",,,magalys
00:02:23:03,00:02:25:00,resistors.,resistencia.,,,magalys
00:02:25:00,00:02:27:14,These are the,Estos son los,,,magalys
00:02:27:14,00:02:29:06,AISI.,AISI.,,,magalys
00:02:29:06,00:02:32:02,"The diodes, the","Los diodos, los",,,magalys
00:02:32:02,00:02:35:01,capacitors that are diodes.,capacitadores que son diodos.,,,magalys
00:02:35:21,00:02:38:03,This is an offer .,Este es un offer.,,,magalys
00:02:38:03,00:02:41:05,"This is a transformer, a capacitor.","Este es un transformador, un capacitador.",,,magalys
00:02:42:11,00:02:44:19,This is another capacitor.,Este es otro capacitador.,,,magalys
00:02:44:19,00:02:47:15,This is a,Este es un,,,magalys
00:02:47:15,00:02:49:01,I knew this,yo lo cogí,,,magalys
00:02:49:01,00:02:50:23,and I learned that there.,Y lo aprendí allá.,,,magalys
00:02:50:23,00:02:53:23,These are the components of this plate.,Estos son los componentes de esta plaquita.,,,magalys
00:02:54:07,00:02:56:11,I can put this together,Yo puedo armar esto,,,magalys
00:02:56:11,00:02:59:11,"and I have my book, through the book it was","y tengo mi libro, a través del libro fue",,,magalys
00:03:00:07,00:03:03:07,that I learned to put together,que aprendí a armar,,,magalys
00:03:03:19,00:03:05:18,each component.,cada componente.,,,magalys
00:03:05:18,00:03:08:18,"If I don't set this up well, it doesn't turn on.","Si yo no compongo bien, no prende.",,,magalys
00:03:10:08,00:03:11:21,But through this,Pero a través de este,,,magalys
00:03:11:21,00:03:15:10,"I repeated it every day, the teacher would tell us","repetía todos los días, el teacher nos decía",,,magalys
00:03:17:23,00:03:20:23,that a resistance of,que una resistencia de,,,magalys
00:03:22:11,00:03:25:11,R22.,R22.,,,magalys
00:03:25:14,00:03:27:08,"Well, they taught us colors","Bueno, nos enseñaron los colores",,,magalys
00:03:27:08,00:03:30:08,because resistors have colors.,porque las resistencias tienen colores.,,,magalys
00:03:30:21,00:03:33:21,"The red, the yellow,","El rojo, el amarillo,",,,magalys
00:03:33:21,00:03:37:12,"the black, the green because they have a voltage.","el negro, el verde porque tienen un voltaje.",,,magalys
00:03:38:09,00:03:40:11,We do the math,Sacamos cuenta,,,magalys
00:03:40:11,00:03:42:17,through colors.,a través de los colores.,,,magalys
00:03:42:17,00:03:44:00,They taught us.,Nos enseñaron.,,,magalys
00:03:44:00,00:03:47:00,This is a 22k resistor,Este es una resistencia de 22 k,,,magalys
00:03:48:14,00:03:51:02,and I have to search,y tengo que buscar,,,magalys
00:03:51:02,00:03:51:20,the little plate,la plaquita,,,magalys
00:03:51:20,00:03:54:19,It has its numbering where I have to,tiene su numeración donde tengo que,,,magalys
00:03:55:08,00:03:57:15,put.,poner.,,,magalys
00:03:57:15,00:03:58:22,"Well,","Bueno,",,,magalys
00:03:58:22,00:04:02:14,This is a lamp plate.,esta es una placa de la lámpara.,,,magalys
00:04:02:18,00:04:03:15,It's this one here.,Es esta que está acá.,,,magalys
00:04:05:01,00:04:05:19,I can teach,Yo puedo enseñar,,,magalys
00:04:05:19,00:04:09:03,"the boys, just like they taught me and I didn’t know","los muchachos, así como me enseñaron a mí y yo no sé",,,magalys
00:04:10:03,00:04:13:15,"what voltage, well voltage yes, because I learned","qué voltaje, bueno voltaje sí, porque yo aprendí",,,magalys
00:04:13:15,00:04:16:15,"that the numbers, that we have to do the math,","que los números, que tenemos que sacar cuentas,",,,magalys
00:04:17:13,00:04:18:06,the basics.,lo básico.,,,magalys
00:04:18:06,00:04:21:15,I didn't learn that quickly.,No aprendí así tan rápido.,,,magalys
00:04:22:11,00:04:23:04,Yeah.,Sí.,,,magalys
00:04:23:04,00:04:26:13,So with each one of those you put them together for the other,¿Así con cada uno de esos armaba para las otras,,,magalys
00:04:26:13,00:04:28:00,people from the community?,personas de la comunidad?,,,magalys
00:04:28:00,00:04:32:11,"Yes, of course, because after the course they send us this.","Sí, claro, porque después del curso nos envían esto.",,,magalys
00:04:33:03,00:04:36:13,The government has to finance the school,El gobierno tiene que financiar con la escuela,,,magalys
00:04:36:13,00:04:38:14,so they can send us the material,para que puedan enviarnos el material,,,magalys
00:04:38:14,00:04:40:17,and to electrify the community.,y para electrificar la comunidad.,,,magalys
00:04:40:17,00:04:43:17,"“Barefoot school” (Barefoot College) in India,","Es en la escuela de Barefoot
en la India,",,,magalys
00:04:43:17,00:04:47:18,and this is a PCB plate,y esta es una placa de un PCB,,,magalys
00:04:48:14,00:04:51:14,of a control that is this one that is here.,de un control que es ésta que está acá.,,,magalys
00:04:52:23,00:04:55:05,This is how they gave it to us like this in India.,Así nos entregan así en la India.,,,magalys
00:04:55:05,00:04:58:05,"“Go set up!”
Do they just send you that?","Vayan a armar.
¿Le envían eso no más?",,,magalys
00:04:58:09,00:04:59:22,"Yes, they give us this","Sí, nos dan esto",,,magalys
00:04:59:22,00:05:02:02,"back in India, that's what I did every day.","allá en la India, eso es lo que hacía todos los días.",,,magalys
00:05:03:12,00:05:05:11,To set this up.,Armar esto.,,,magalys
00:05:05:11,00:05:08:11,"The components, they gave us the components, just like this.","Los componentes, nos daban los componentes, así como esto.",,,magalys
00:05:09:01,00:05:12:12,So it comes simple like this,Entonces llega sencillo así,,,magalys
00:05:12:23,00:05:14:19,"and you put everything together?
Yeah.","y usted arma todo?
Sí.",,,magalys
00:05:14:19,00:05:15:23,From the beginning?,¿Desde el inicio?,,,magalys
00:05:15:23,00:05:17:17,"From the beginning, from scratch.","Desde inicio, desde cero.",,,magalys
00:05:17:17,00:05:19:14,Just as it is.,Así como está.,,,magalys
00:05:19:14,00:05:22:14,There's the end.,Ahí está el final.,,,magalys
00:05:23:03,00:05:26:03,Until it turns on.,Así hasta que aprenda.,,,magalys
00:05:26:10,00:05:28:17,"This is a control, a loading control","Este es de un control, de un control de carga",,,magalys
00:05:28:17,00:05:32:01,which controls the charge from the solar to the battery so that,que controla la carga del solar a la batería porque,,,magalys
00:05:33:06,00:05:35:15,it keeps.,se mantiene.,,,magalys
