Start Time,End Time,EN,ES,Highlight,Comments,Speaker
00:00:07:22,00:00:09:18,I find it very interesting,Encuentro muy interesante,,,neko
00:00:09:19,00:00:12:06,That the Wayuu people hardly have,eso de que los Wayuu casi no tienen,,,neko
00:00:12:16,00:00:13:12,A border.,frontera.,,,neko
00:00:13:12,00:00:15:22,"Yes, that's precisely it.","Sí, precisamente es eso.",,,neko
00:00:15:29,00:00:18:08,"Yes, precisely, this is the theory
and this is the practice.","Sí, precisamente esta es la teoría
y esta es la práctica.",,,neko
00:00:18:21,00:00:20:22,"So, I have both of them",Entonces yo tengo las dos,,,neko
00:00:20:27,00:00:23:21,"And sometimes, as always,
it's something that is said with pride.","y a veces, como siempre,
es como que uno dice con orgullo",,,neko
00:00:23:22,00:00:26:02,"it's not like my culture is binational,","no es que mi cultura es binacional,",,,neko
00:00:27:07,00:00:30:02,but that pride is something that truly costs.,"pero ese orgullo realmente en la realidad
es algo que cuesta.",,,neko
00:00:30:22,00:00:33:26,"I mean, for example, to me
I had my elementary school in Venezuela","O sea, por ejemplo, a mí
yo tenía mi primaria en Venezuela",,,neko
00:00:34:27,00:00:39:00,"when I came to Colombia I studied high school,
but with the Venezuelan documents and also","cuando vengo en Colombia estudié la secundaria,
pero con los documentos venezolanos y también",,,neko
00:00:39:03,00:00:42:11,"I have the Colombian,
I have both documents and when I finish","tengo el colombiano,
tengo los dos documentos y cuando termino",,,neko
00:00:42:12,00:00:43:29,the high school,la secundaria,,,neko
00:00:45:13,00:00:48:00,"that paper doesn't do me much good,","ese papel en el salón no me sirve mucho,",,,neko
00:00:48:01,00:00:50:01,"because i was hoping that, taking into account",porque yo esperaba que teniendo en cuenta,,,neko
00:00:50:05,00:00:52:25,"is also an idea from our culture, at least I would say","también es una idea de la cultura, al menos dijera",,,neko
00:00:53:03,00:00:57:01,Let's transfer the paperwork to the Colombian and cancel the Venezuelan.,"vamos a hacerle ese traspaso de papel al colombiano
y cancelamos al venezolano.",,,neko
00:00:57:23,00:01:02:08,"But bureaucracy does not allow
that and we are that,","Pero la burocracia no permite
eso y nosotros somos esa,",,,neko
00:01:03:09,00:01:04:18,we are a victim,somos víctima,,,neko
00:01:04:19,00:01:07:11,"of a border that we did not want to enter,
we did not put.","de una frontera que nosotros no quisimos entrar,
no pusimos.",,,neko
00:01:08:24,00:01:12:09,"So that's the other side of saying
I am binational,","Entonces esa es la otra cara de decir
soy binacional,",,,neko
00:01:13:14,00:01:15:27,is negative.,es negativo.,,,neko
00:01:19:02,00:01:22:10,"So yes, it could,
no problem, I could answer.","Así que sí, podría,
no hay problema, podría responder.",,,neko
00:01:22:27,00:01:28:00,"Well, first of all, let's start with which one?","Bueno, primero que todo, empecemos con cuál",,,neko
00:01:28:01,00:01:31:27,is your name and what you do.,es tu nombre y a que a qué te dedicas.,,,neko
00:01:31:28,00:01:32:29,"Well, what is your name?","Bueno, ¿cuál es tu nombre?",,,neko
00:01:32:29,00:01:36:06,Where are we and what do you do?,Dónde estamos y a que te dedicas?,,,neko
00:01:36:07,00:01:40:09,"Well, my name is Neko Agustin Pio.","Bueno, mi nombre es Neko Agustín Pío.",,,neko
00:01:41:15,00:01:44:29,"We were in Manaos, La Guajira, in the media guajira.","Estábamos en Manaos, La Guajira, en la media guajira",,,neko
00:01:47:06,00:01:48:03,And what do I do?,¿y a que me dedico?,,,neko
00:01:48:03,00:01:51:17,"Well, I'm involved in several things, in fact, things","Pues me dedico a varias cosas, de hecho, cosas",,,neko
00:01:52:02,00:01:56:27,"that are related to cultural conservation,
in this case,","que están relacionado a la conservación cultural,
en este caso,",,,neko
00:01:57:03,00:02:01:08,"in particular the culture to which I belong
me, which is the Wayuu culture.","en especial la cultura a la que pertenezco
yo, que es la cultura wayuu.",,,neko
00:02:02:00,00:02:03:15,"Then,","Entonces,",,,neko
00:02:04:00,00:02:06:17,"Precisely, I can say that I am dedicating myself",de forma puntual puedo decir que me estoy dedicando,,,neko
