Start Time,End Time,EN,ES,Highlight,Comments
00:00:03:16,00:00:06:08,What happens is that in La Guajira,Sucede que en La Guajira,,
00:00:06:08,00:00:09:01,plastic pollution is an issue,la contaminación por plástico es un tema,,
00:00:09:01,00:00:11:23,"quite complex,","bastante complejo,",,
00:00:11:23,00:00:14:23,"quite, quite serious.","bastante, bastante serio.",,
00:00:15:15,00:00:19:02,"Because one of the causes, to put it in a way,","Porque una de las causas, digámoslo así,",,
00:00:20:18,00:00:23:20,for many decades,nosotros desde hace muchas décadas,,
00:00:24:12,00:00:27:12,we have been buying,"llevamos viniendo, comprando",,
00:00:29:03,00:00:32:06,"our food, an example would be rice,","nuestros alimentos, un ejemplo estaría el arroz,",,
00:00:32:13,00:00:34:18,"That comes in a plastic wrapper,","eso viene en una envoltura plástica,",,
00:00:34:18,00:00:36:16,The coffee comes in a plastic wrapper.,el café viene en una envoltura plástica.,,
00:00:36:16,00:00:38:23,The spaghetti has plastic wrap.,El espagueti tiene envoltura plástica.,,
00:00:38:23,00:00:41:19,Then buying that,Entonces comprar eso,,
00:00:41:19,00:00:42:21,"here in the communities,","acá en las comunidades,",,
00:00:42:21,00:00:46:00,"In rural areas, there is no sanitation system.","en las zonas rurales, no hay un sistema de saneamiento.",,
00:00:46:19,00:00:49:07,"So the garbage truck doesn't pass here,","Entonces acá no pasa el carro de aseo,",,
00:00:49:07,00:00:52:10,here the plastics that enter have no way out,acá los plásticos que entran no tienen una salida,,
00:00:52:11,00:00:55:11,so they stay in the communities,"hacia afuera, se quedan en las comunidades",,
00:00:55:18,00:00:58:23,and that is why we say that this problem is cumulative.,y por eso digamos que este problema es acumulativo.,,
00:00:59:07,00:01:03:19,We have been buying this plastic for many years.,Desde hace muchos años hemos venido comprando ese plástico,,
00:01:04:18,00:01:07:18,and those plastics have remained in the communities,y esos plásticos se han quedado en las comunidades,,
00:01:08:04,00:01:11:03,and that's why we have pollution,y por eso tenemos una contaminación,,
00:01:12:05,00:01:13:08,for waste,por residuos,,
00:01:13:08,00:01:16:16,quite visible in the communities.,bastante visible en las comunidades.,,
00:01:16:20,00:01:18:12,"So,","Así,",,
00:01:18:12,00:01:20:18,This becomes a conflict,"esto se vuelve un conflicto,",,
00:01:20:18,00:01:23:18,a problematic.,una problemática.,,
00:01:23:23,00:01:26:07,So serious that when we walked the trails,Tanto así que cuando caminábamos por los senderos,,
00:01:26:07,00:01:29:07,"From the rancherías we are going to see plastics,","de las rancherías vamos a ver plásticos,",,
00:01:30:06,00:01:30:21,One goes for the cardones and,Uno va por los cardones y,,
00:01:30:21,00:01:33:07,The cardons have plastic stuck.,los cardones tienen plásticos atascados.,,
00:01:33:07,00:01:35:19,"One walks through the sea,","Uno camina por el mar,",,
00:01:35:19,00:01:38:18,"There is plastic on the beaches too, so now Manaure","hay plásticos por las playas también, entonces ya Manaure",,
00:01:38:18,00:01:40:00,is flooded.,está inundada.,,
00:01:40:00,00:01:43:07,"To the extent that in 2019 Semana magazine,","Tanto así que en el 2019 la revista Semana,",,
00:01:43:07,00:01:46:06,a very popular magazine in Colombia published,una revista muy popular en Colombia sacó,,
00:01:46:11,00:01:50:18,an article titled La Güajira flooded with garbage.,un artículo titulado La Guajira inundada en basura.,,
00:01:51:20,00:01:54:17,And it is a phrase,Y es una frase,,
00:01:54:17,00:01:57:05,that is not far from reality.,que no está alejada de la realidad.,,
00:01:57:05,00:01:59:21,"La Güajira really is flooded with plastics,","Realmente La Guaira sí está inundada de plásticos,",,
00:01:59:21,00:02:05:00,is flooded with waste and to,está inundado de residuos y en pro,,
00:02:05:12,00:02:08:12,counteract this problem,de contrarrestar esa problemática,,
00:02:09:04,00:02:13:22,We created this initiative ''Threads for Mma'' and,nosotros creamos esta iniciativa ‘’Hilos por Mma’’ y,,
00:02:14:12,00:02:15:16,what we do is,lo que hacemos es,,
00:02:16:19,00:02:19:15,"bring workshops to communities,","llevar talleres a las comunidades,",,
00:02:19:15,00:02:23:20,"to different communities, on awareness","a las diferentes comunidades, sobre concientización",,
00:02:24:01,00:02:27:09,"facing the issue, the environmental issue","en frente al tema, al tema ambiental",,
00:02:27:22,00:02:30:09,"and how plastic,","y de cómo el plástico,",,
00:02:30:09,00:02:33:09,How damaging is going to be when we leave it in nature.,qué daños va a hacer cuando lo dejamos en la naturaleza.,,
00:02:34:22,00:02:38:05,These workshops are also,Estos talleres son también,,
00:02:38:22,00:02:42:10,contextualized in our culture.,contextualizados en la cultura de nosotros.,,
00:02:42:18,00:02:45:12,It's not just coming and saying,No es solamente llegar y decir,,
00:02:45:12,00:02:48:16,"You have to classify them, classify solid waste","Hay que clasificarlos, clasificar residuos sólidos",,
00:02:49:11,00:02:52:00,"and so, but also to know","y así, sino también conocer",,
00:02:52:00,00:02:54:19,like our culture,como nuestra cultura,,
00:02:54:19,00:02:58:17,has a thought regarding this topic.,tiene un pensamiento frente a este tema.,,
00:02:59:10,00:03:02:10,"And that's why, from that, ''Threads for Mmá '' was born,","Y por eso, a partir de eso nació ‘’Hilos por Mmá’’,",,
00:03:02:16,00:03:05:21,where we bring workshops to the communities and also,donde llevamos talleres a las comunidades y también,,
00:03:07:12,00:03:09:23,we generate an exchange,generamos un intercambio,,
00:03:09:23,00:03:13:03,where communities give us classified waste,donde las comunidades nos dan residuos clasificados,,
00:03:13:03,00:03:15:05,"and in return we give them threads,","y nosotros a cambio les damos hilos,",,
00:03:15:05,00:03:18:05,we give them the wool to make,les damos las lanas para hacer,,
00:03:18:05,00:03:21:05,"the backpacks, the","las mochilas, las",,
00:03:22:08,00:03:24:08,"handles, the hammock.","manillas, el chinchorro.",,
00:03:24:08,00:03:28:22,This is how we give value to waste and communities,Así le damos un valor a los residuos y las comunidades,,
00:03:28:22,00:03:30:04,"They say well, it's worth it","dicen bueno, vale la pena",,
00:03:30:04,00:03:33:19,"really, because there is a, there is an added value.","realmente, porque hay un, hay un valor agregado.",,
00:03:34:02,00:03:36:03,"So they give us that waste,","Entonces ellos nos dan esos residuos,",,
00:03:36:03,00:03:38:15,"We collect that waste,","nosotros esos residuos lo recogemos,",,
00:03:38:15,00:03:42:12,"There is a collection center here in the mountains, in the desert,","hay un centro de acopio aquí en el monte, en el desierto,",,
00:03:42:12,00:03:43:06,There is a collection there,Ahí hay un acopio,,
00:03:44:06,00:03:45:22,and we take that waste,y nosotros esos residuos los,,
00:03:45:22,00:03:48:22,to the point of the urban area where it is,llevamos al punto de la zona urbana donde está,,
00:03:49:20,00:03:52:06,the garbage truck and all that.,el carro de aseo y todo eso.,,
00:03:52:06,00:03:56:02,"And to also give continuity to these elements,","Y para darle continuidad también a estos elementos,",,
00:03:56:02,00:03:59:18,"Like cardboard, we take it to recycling stores.",como el cartón lo llevamos a las tiendas recicladoras.,,
00:04:00:19,00:04:02:09,"On the other hand,","Por otro lado,",,
