Start Time,End Time,EN,ES,Highlight,Comments,Speaker
00:01,00:08,"Well Neko, you are entering the Macuira mountain range.
These are land of the Arpushana (family lineage)","Bueno Neko, estas entrando en la serranía de Macuira.
Estas son tierra de los Arpushana (linaje familiar)",TURQUOISE (3),,"magalys, neko"
00:10,00:14,"The story of Wolunka, happened in the land of the Arpushana.","La historia de Wolunka, sucedió en la tierra de los Arpushana.",,,"magalys, neko"
00:16,00:20,"Here is the stone where Wolunka was that
Day, as I told you.","Aquí está la piedra donde estaba Wolunka ese
Día, como les comenté.",,,"magalys, neko"
00:24,00:30,"TRUE. In fact, in our culture it is necessary
let us know these stories","Cierto. De hecho, en nuestra cultura es necesario
que conozcamos estas historias",TURQUOISE (3),,"magalys, neko"
00:31,00:36,So that we continue to value these wonders that we have now,Para que sigamos valorando estas maravillas que tenemos ahora,TURQUOISE (3),,"magalys, neko"
00:37,00:43,"Since this is what our ancestors have left
and our grandparents","Ya que esto es lo que han dejado nuestros ancestros
y nuestros abuelos",TURQUOISE (3),,"magalys, neko"
00:44,00:48,That's why I'm here in your territory Magalys.,Es por eso que estoy aquí en tu territorio Magalys.,BRIGHT_GREEN (4),,"magalys, neko"
00:49,00:55,"See I come from the west and now I'm here
in the north. Yeah.","Mira que yo vengo del oeste y ahora estoy aquí
en el norte. Si.",BRIGHT_GREEN (4),,"magalys, neko"
00:56,00:58,Where the Wayuu people originated.,En donde se originó el pueblo Wayuu.,BRIGHT_GREEN (4),,"magalys, neko"
01:00,01:08,"I am glad to know the place where Wolunka was.
We can talk a little more about that.","Estoy contento de conocer el lugar donde estuvo Wolunka.
Podemos hablar un poco más de eso.",,,"magalys, neko"
01:09,01:11,I am going to tell you then the story of Wolunka.,te voy a contar entonces la historia de Wolunka.,,,"magalys, neko"
01:14,01:15,This here,Esto de aquí,,,"magalys, neko"
01:16,01:21,"It is the stone of Wolunka, where he used to sit","Es la piedra de Wolunka, donde frecuentaba sentarse",,,"magalys, neko"
01:22,01:25,Wolunka was a very beautiful woman,Wolunka era una mujer muy hermosa,,,"magalys, neko"
01:26,01:29,Who used to sit there while taking a bath in the afternoons,Que solía sentarse ahí mientras se bañaba en las tardes,,,"magalys, neko"
01:31,01:35,And back then there were also two brothers,Y en ese entonces también había dos hermanos,,,"magalys, neko"
01:37,01:39,They were twins as they call it now.,Eran mellizos como le dicen ahora.,,,"magalys, neko"
01:41,01:44,But when they saw her bathe in the afternoons,Pero cuando la veían bañarse en las tardes,,,"magalys, neko"
01:45,01:51,"they were scared and did not want to bathe near her
because of the teeth they saw in her vagina.","se asustaban y no querían bañarse cerca de ella
por los dientes que veían en su vagina.",,,"magalys, neko"
01:52,01:57,"And they said ""what could we do"" because we won't have
descendants for her.","Y dijeron “que podríamos hacer” porque no tendremos
descendientes por ella.",,,"magalys, neko"
01:59,02:04,"Since the men were afraid of him and of course,
she did have teeth in her vagina","Ya que los hombres le tenían miedo y como no,
sí tenía dientes en su vagina",,,"magalys, neko"
02:05,02:09,"None of the men wanted to get close to him for fear of
his teeth","Ninguno de los hombres se le quería acercar por miedo a
sus dientes",,,"magalys, neko"
02:11,02:12,One day.,Un día.,,,"magalys, neko"
02:13,02:16,"Before, I clarified that Wolunka was Juya's daughter.","Antes, aclaro que Wolunka era hija de Juya.",,,"magalys, neko"
02:38,02:42,"So, one day they sat down to think about what they should do.","Entonces, un día se sentaron a pensar en que debían hacer",,,"magalys, neko"
02:43,02:47,"Since they were worried about not leaving descendants, but with
Wolunka like that, you couldn't","Ya que les preocupaba no dejar descendientes, pero con
Wolunka así, no se podía",,,"magalys, neko"
02:48,02:51,Said the twin brothers,Decían los hermanos gemelos,,,"magalys, neko"
02:53,02:55,As they talked.,A medida que conversaban.,,,"magalys, neko"
03:04,03:10,"They decided then that they should knock out his teeth,
those of the vagina","Decidieron entonces que debían tumbarle los dientes,
los de la vagina",,,"magalys, neko"
03:11,03:14,And they went looking for the arrow,Y fueron a buscar la flecha,,,"magalys, neko"
03:16,03:20,"It was from up there where they shot the arrow
while bathing","De allá arriba fue donde le lanzaron la flecha
mientras se bañaba",,,"magalys, neko"
03:22,03:26,"In fact, there you can see his footprints when he
they shot the arrow","De hecho, ahí se ven sus huellas cuando le
lanzaron la flecha",,,"magalys, neko"
03:28,03:32,Too bad we can't go up there,Lástima que no podemos subir hasta allá,,,"magalys, neko"
03:33,03:36,Because there you can see the footprints of his Kou'su (shoes),Porque ahí se ven las huellas de su Kou’su (calzado),,,"magalys, neko"
03:37,03:43,The arrow that was thrown at him was right in his intimate part,La flecha que le lanzaron fue justo en su parte intima,,,"magalys, neko"
03:44,03:50,"Which caused a great bleeding that
came to the lake","La cual le provoco un gran sangrado que
llegaba hasta el lago",,,"magalys, neko"
03:51,03:53,Making the water red.,Haciendo que el agua se enrojeciera.,,,"magalys, neko"
03:55,04:02,"Wolunka, for his part, left bleeding
and tormented by pain","Wolunka por su parte se fue sangrando
y atormentada del dolor",,,"magalys, neko"
04:04,04:07,He went to his father Juya (rain),Fue hacia su padre Juya (lluvio),,,"magalys, neko"
04:08,04:19,I told him what they did to him,Le conto lo que le hicieron,,,"magalys, neko"
04:11,04:16,Then Juya got angry and went in search of the brothers,Entonces Juya se enfadó y fue en busca de los hermanos,,,"magalys, neko"
04:20,04:26,"But they fled immediately, they had
hidden in a cave","Pero ellos huyeron enseguida, se habían
escondido en una cueva",,,"magalys, neko"
04:28,04:33,"They hid from Father Juya because they knew
that he would be angry","Se escondieron del padre Juya porque sabían
que él se enojaría",,,"magalys, neko"
04:34,04:35,by Wolunka,Por Wolunka,,,"magalys, neko"
04:37,04:41,While they hid in the cave they were looking for them,Mientras ellos se escondían en la cueva los estuvieron buscando,,,"magalys, neko"
04:45,04:50,Juya divided the stones in two from the rage he had,Juya dividía las piedras en dos de la rabia que tenia,,,"magalys, neko"
04:52,04:53,They called at,Llamaron a las,,,"magalys, neko"
04:55,04:56,Birds,Aves,,,"magalys, neko"
04:58,05:03,So that they pecked at the cave where they were,Para que picotearan la cueva en donde estaban ellos,,,"magalys, neko"
05:05,05:10,That explains why some birds have,Eso explica por qué algunas aves tienen,,,"magalys, neko"
05:14,05:19,"It has a short beak, an example of which is","Tiene el pico corto, un ejemplo de ellos es",,,"magalys, neko"
05:21,05:25,"The bird Utta (bridged boob) Utta, yes Utta.","El pájaro Utta (bobito puenteado) Utta, si Utta.",,,"magalys, neko"
05:26,05:27,He,El,,,"magalys, neko"
