Start Time,End Time,EN,ES,Highlight,Comments,Speaker
00:10,00:13,I'm going to ask you some questions so you can answer us.,Te voy hacer unas preguntas para que nos respondas,,,abuela pescadora
00:14,00:17,"First, can you tell us where we are now?","Primero, puedes decirnos ¿en dónde estamos ahora?",,,abuela pescadora
00:18,00:26,What is your name? And what is eirüku (family lineage) from here?,¿Cómo te llamas? Y ¿Cuál es eirüku (linaje familiar) de acá?,,,abuela pescadora
00:27,00:32,"That is, the one of you who live here,","Es decir, la de ustedes que viven acá,",,,abuela pescadora
00:33,00:39,"That you tell me the lineage of all those who live in this
community if they are Epinayú or other","Que me digas el linaje de todos los que viven en esta
comunidad si son epinayu u otro",,,abuela pescadora
00:41,00:44,It is not necessary that you tell me all but only yours,No es necesario que me digas todos sino solo las de ustedes,,,abuela pescadora
00:50,00:52,"Ready? Yes, they are already recording",¿Listo? Sí ya están grabando,,,abuela pescadora
00:53,00:59,"Here we are from various lineages, there are the Epieyú and
are the Uriana","Acá somos de varios linajes, están los Epieyu y
están los uriana",,,abuela pescadora
01:00,01:05,Here there are also Pushainas like my partner,Acá también hay Pushainas como mi pareja,,,abuela pescadora
01:06,01:07,This is how we are constituted,Así estamos constituidos,,,abuela pescadora
01:09,01:11,my family is Uriana,Mi familia es uriana,,,abuela pescadora
01:12,01:19,"I can't tell you that we are all Pushaina or Epieyú
because various lineages within the community","yo no te puedo decir que todos somos Pushaina o Epieyu
porque varios linajes dentro de la comunidad",,,abuela pescadora
01:25,01:33,"For example, there are Uriana children, our grandchildren are Epieyú
because we are already mixed","Por ejemplo, hay niños uriana, nuestros nietos son Epieyu
porque ya estamos mezclados",,,abuela pescadora
01:35,01:38,This is how our last names work as you tell them,Así funcionan nuestros apellidos como le dicen ustedes,,,abuela pescadora
01:41,01:42,What is the name of the community?,¿Cómo se llama la comunidad?,,,abuela pescadora
01:43,01:44,Neima,Neima,,,abuela pescadora
01:48,01:51,"You haven't told us your name, could you tell us","No nos has dicho tu nombre, podrías decirlo",,,abuela pescadora
01:53,01:55,Do I have to tell you my name?,¿Tengo que decirles mi nombre?,,,abuela pescadora
01:58,01:59,Yes of course,"Si, claro",,,abuela pescadora
02:00,02:04,My name is Torira. OK thanks,Mi nombre es Torira. Ok gracias,,,abuela pescadora
02:09,02:16,"Be careful, you're going to knock down the enramada (traditional wayuu building)","Cuidado, vas a tumbar la enramada (traditional wayuu building)  http://agenciadenoticias.unal.edu.co/detalle/comunidades-wayuu-disfrutan-de-cuatro-enramadas-construidas-por-la-un",,,abuela pescadora
02:19,02:21,Ok now what's next,Bueno y ahora qué sigue,,,abuela pescadora
02:23,02:28,"You can explain the environment that there is like the sea, the moon","Puede explicar el entorno que hay como el mar, la luna",,,abuela pescadora
