Start Time,End Time,EN,ES,Highlight,Comments,Speaker
00:10,00:17,I am from the Ayalajose community,Yo soy de la comunidad Ayalajose,,,neko father
00:18,00:23,It is in the territory of Alta Guajira (North Region),Se encuentra ubicado en el territorio de la alta guajira,,,neko father
00:24,00:31,"Right now I am close to the community
in the jaguey (lake) ichiiket","En este momento me encuentro cerca de la comunidad
en el jaguey (Lago) ichiiket",,,neko father
00:33,00:37,My name is Agustin Pushaina,Yo me llamo Agustín Pushaina,,,neko father
00:40,00:46,"Now I am going to tell you everything related
with water and rain (mythological father of the Wayuu)","Ahora les voy a decir todo lo relacionado
con el agua y el lluvio (padre mitológico de los wayuu)",,,neko father
00:51,00:55,"As for Juya (rain) it is very important to us,","En cuanto a Juya (lluvio) es muy importante para nosotros,",,,neko father
00:57,01:00,He is the one who gives us good things,Es el que nos da cosas buenas,,,neko father
01:02,01:08,"The one that gives us a hope of life, things
what we need for day to day","El que nos da una esperanza de vida, las cosas
que necesitamos para el día a día",,,neko father
01:10,01:13,And the things our children need to survive,Y las cosas que necesitan nuestros hijos para sobrevivir,,,neko father
01:14,01:16,"Furthermore, in order for the land to produce
food for us","Además, para que la tierra pueda producir
alimentos para nosotros",,,neko father
01:17,01:21,how do they know when winter is coming?,¿cómo saben cuando viene el invierno?,,,neko father
01:25,01:30,"the month in which the rain comes iwaa appears
(star) As a sign in the sky","el mes en el que viene el lluvio aparece iwaa
(lucero) Como señal en el cielo",,,neko father
01:33,01:38,"In addition, another sign are the dragonflies that appear
before the torrential waters","Además, otra señal son las libélulas que aparecen
antes de las torrenciales de agua",,,neko father
01:40,01:45,"If the rain comes in that month of signs,
means that enough water is going to fall","Si el lluvio llega en ese mes de señales,
significa que va a caer suficiente agua",,,neko father
01:46,01:48,We look at the sky when the rain starts to fall,Nosotros miramos al cielo cuando empieza a caer la lluvia,,,neko father
01:50,01:53,The earth is happy and so are we,La tierra se pone contenta y nosotros también,,,neko father
01:56,01:59,Why are we happy?,¿Por qué estamos felices?,,,neko father
02:00,02:04,"because there will be abundant food for us
And grass for the animals","porque habrá abundante alimento para nosotros
Y pasto para los animales",,,neko father
02:05,02:07,They are things that we will survive,Son cosas de las que vamos a sobrevivir,,,neko father
02:09,02:13,It is a lie to say that the Wayuu live well,Es mentira decir que los wayuu vivimos bien,,,neko father
02:14,02:17,Because we don't have how to get up in difficult times,Porque no tenemos cómo levantarnos en tiempos difíciles,,,neko father
00:18,00:24,"Only when the rain comes because with it, we have water,
food, vegetation for animals and so on.","Solo cuando llega el lluvio porque con él, tenemos agua,
alimentos, vegetación para los animales y demás.",,,neko father
02:25,02:28,Our house comes from him,Nuestra casa viene de él,,,neko father
02:29,02:33,Thanks to Juya the teasels bear good fruit in quantity,Gracias a Juya los cardones dan buenos frutos en cantidad,,,neko father
02:34,02:39,The plants appear in quantity,Las plantas aparecen en cantidad,,,neko father
02:40,02:45,"With Juya all things are productive like sowing,
Like the animals that feed us","Con Juya todas las cosas son productivas como la siembra,
Como Los animales que nos alimentan",,,neko father
02:46,02:48,We put a big corral for them,Ponemos un corral grande para ellos,,,neko father
02:49,02:52,That is why we feed ourselves thanks to water,De ahí es que nosotros nos alimentamos gracias al agua,,,neko father
02:53,02:59,"That's why we need the rain to come in the
month of the star because it is very necessary to live.","Por eso es que necesitamos que el lluvio llegue en el
mes del lucero porque es muy necesario para vivir.",,,neko father
03:00,03:05,"If the rain does not come in the month of iiwa (star),
We face many difficulties","Si el lluvio no llega en el mes de iiwa (lucero),
Nos enfrentamos a muchas dificultades",,,neko father
03:06,03:11,"The land dries up, there is no water, and nothing to eat
in our land","La tierra se seca, no hay agua, ni nada para comer
en nuestra tierra",,,neko father
03:12,03:14,In those moments we do not know how to handle the situation,En esos momentos no sabemos manejar la situación,,,neko father
03:15,03:20,"We try to bring the apain (orchard) closer to sow food,
But the scorching sun destroys the crops","Intentamos acercar el apain(huerto) para sembrar alimentos,
Pero el sol abrasador acaba con las siembras",,,neko father
03:21,03:26,"That is why we need the rain, which
we are talking now","Por eso es que necesitamos del lluvio, del que
estamos hablando ahora",,,neko father
03:27,03:33,Now let's talk about what was life like for people when the rain was abundant?,Ahora hablemos de ¿cómo era la vida de las personas cuando la lluvio era abundante?,,,neko father
03:34,03:38,before when the rain was abundant everything was fine,antes cuando el lluvio era abundante todo estaba bien,,,neko father
03:40,03:46,"when my ancestors inhabited the earth
Juya's rain was abundant","cuando mis ancestros habitaban la tierra
la lluvia de Juya era abundante",,,neko father
03:47,03:53,"Even in moments of celebrations (myrrh) there was rain,
Happened at the end of the year","Hasta en momentos de festejos (mirra) había lluvia,
Ocurrían a fin de año",,,neko father
03:54,03:56,After the end of the year it rained again,Después de fin de año volvía a llover,,,neko father
03:57,04:02,"During the celebration people had many
animals thanks to Juya","Durante el festejo las personas tenían muchos
animales gracias a Juya",,,neko father
04:03,04:09,"The Wayuu began to mark the animals with the
eirüku (family clan) to differentiate them and
know how many animals the rain left","los wayuu empezaban a marcar los animales con el
eirüku (clan familiar) para diferenciarlos y
saber cuántos animales dejo el lluvio",,,neko father
04:11,04:18,"This mark served to leave the inheritance to his children and relatives,
Through the eirüku each person knew what was theirs.","Esta marca servía para dejar la herencia a sus hijos y familiares,
Por el eirüku cada quien sabía lo que le correspondía.",,,neko father
04:20,04:24,the inheritance was delivered when the rain stopped for a moment,la herencia se entregaba cuando el lluvio cesaba por un momento,,,neko father
04:25,04:29,"After that the month of iiwa was approaching
and Juya visited us again","Después de eso se acercaba el mes de iiwa
y Juya nos visitaba de nuevo",,,neko father
04:30,04:35,"Small animals grow quickly
Because the rain makes the plants grow again","Los animales pequeños crecen rápidamente
Porque el lluvio hace que las plantas crezcan otra vez",,,neko father
04:36,04:38,"In addition, the water is good for everything, to bathe","Además, el agua es bueno para todo, para bañar",,,neko father
04:39,04:44,"To plant food such as corn, beans,","Para sembrar alimentos como el maíz, el frijol,",,,neko father
04:45,04:49,the watermelon and the pumpkin.,la patilla y la calabaza.,,,neko father
04:50,04:53,In the garden they could sow what they wanted to eat,En el huerto podían sembrar lo que querían comer,,,neko father
04:54,04:59,"The wayuu who did not have animals or crops,
He approached where a person who did have","El wayuu que no tenía animales ni siembra,
Se acercaba a donde una persona que si tenía",,,neko father
05:01,05:06,He suddenly asked for help because he had no food at home,El pedía ayuda de pronto porque no tenía alimentos en su casa,,,neko father
05:07,05:11,"The sower told him ""it's okay, I'll help you"", he showed him the
trade on how to sow, clean and harvest.","El sembrador le decía “está bien te ayudare”, le enseñaba el
oficio sobre cómo sembrar, limpiar y cosechar.",,,neko father
05:12,05:15,"Or he gives him a part of the garden so that he can sow
his own food","O le da una parte del huerto para que el sembrara
su propio alimento",,,neko father
05:16,05:19,We help each other for good,Nos ayudamos entre nosotros para un bien,,,neko father
05:20,05:25,"So the earth is good, with only rain three times
There is already plenty of food, and we all have many animals","Entonces la tierra es buena, con solo llover tres veces
Ya hay alimento en abundancia, y todos tenemos muchos animales",,,neko father
05:26,05:31,"The life of our ancestors had many benefits
Because Juya's rain was abundant","La vida de nuestros antepasados tenía muchos beneficios
Porque la lluvia de Juya era abundante",,,neko father
05:32,05:39,"They had cows, goats, sheep and other animals
like donkeys and horses","Tenían vacas, chivos, ovejos y otros animales
Como burros y caballos",,,neko father
05:41,05:47,"Those were the benefits my ancestors had
When the rain made love to mother earth.","Esos eran los beneficios que tenían mis antepasados
Cuando el lluvio le hacía el amor a la madre tierra.",,,neko father
05:49,05:52,"At that time all the territories were in
equal conditions","En esa época todos los territorios estaban en
igual de condiciones",,,neko father
05:53,05:58,There was no land where it did not rain,No había una tierra en la que no llovía,,,neko father
06:00,06:04,"When there was a conflict, they met.
among all and thought of a solution","Cuando se presentaba algún conflicto, se reunían
entre todos y pensaban en una solución",,,neko father
06:05,06:08,"They managed the situation and reassured those affected.
It was resolved by means of a payment","Manejaban la situación y tranquilizaban a los afectados.
Se resolvía por medio de un pago",,,neko father
06:09,06:13,"Since they all had animals it was very easy to give
solution to the conflict as soon as possible","Como todos tenían animales era muy fácil darle
solución al conflicto lo más pronto posible",,,neko father
06:14,06:17,"the wayuu did not care how many animals he had to give
because there was enough","al wayuu no le preocupaba cuántos animales tenía que dar
Porque había suficiente",,,neko father
06:18,06:22,"Animals were an asset in those days,
That they ended some conflict.","Los animales eran una ventaja en esa época,
Que daban por terminado algún conflicto.",,,neko father
06:23,06:26,Thanks to animals in abundance there was no theft,Gracias a los animales en abundancia no existía el robo,,,neko father
06:27,06:30,There was respect and a healthy coexistence among the Wayuu,Había un respeto y una sana convivencia entre los wayuu,,,neko father
06:31,06:35,"They all lived together on earth without any problem,
Neighboring territories were like families","Todos convivían en la tierra sin ningún problema,
Los territorios vecinos eran como familias",,,neko father
06:36,06:40,"This was possible thanks to the fact that they all had animals in abundance,
And they helped each other","Esto era posible gracias a que todos poseían animales en abundancia,
Y se ayudaban mutuamente",,,neko father
06:41,06:45,"The one who did not have crops asked and the others gave him gifts,
Because no one denied anything","El que no tenía siembra pedía y los demás le regalaban,
Porque nadie negaba nada",,,neko father
06:46,06:52,"The one who did not have crops exchanged something for food and
so they helped each other.","El que no tenía siembra intercambiaba algo por alimento y
así se ayudaban unos a otros.",,,neko father
06:53,06:59,Now let's talk about the needs due to the lack of water,Ahora hablemos de las necesidades por la falta de agua,,,neko father
07:03,07:07,Right now there is no longer a healthy coexistence,En estos momentos ya no existe la sana convivencia,,,neko father
07:08,07:14,"Good friendships among people no longer exist, and the exchange of goods is something that is no longer seen","ya no hay buenas amistades entre las personas, el intercambio
de bienes son cosas que ya no se ven",,,neko father
07:15,07:18,"Water is very necessary, it is what guides us on the right path","El agua es muy necesario, es el que nos guía por el buen camino",,,neko father
07:19,07:23,"It would be a lie if we say that we are
Good-hearted people","Sería una mentira si decimos que somos unas
personas de buen corazón",,,neko father
07:24,07:26,If there is no rain there is nothing good,Si no hay lluvia no hay nada bueno,,,neko father
07:27,07:29,"The wayuu wait for the rain,
To the point of sadness","El wayuu espera el lluvio,
Hasta el punto de entristecerse",,,neko father
07:30,07:36,"They are forced to go to distant places near the
mountains to fetch water","Le toca ir a lugares lejanos cerca de las
montañas a buscar agua",,,neko father
07:37,07:44,"They take the animals there, and if they have several on the way,
they get lost because they are territories they are unfamiliar with","Lleva a los animales para allá, si tiene varios en el camino
se van perdiendo ya que son territorios que desconocen",,,neko father
07:45,07:49,"And the people over there eat the animals
lost on the way","Y las personas de por allá se comen los animales
perdidos en el camino",,,neko father
07:50,07:53,It is a very great suffering when there is no rain,Es un sufrimiento muy grande cuando no hay lluvia,,,neko father
07:54,07:57,Because of that they are envious between relatives,A causa de eso se tienen envidia entre familiares,,,neko father
07:58,08:02,"If a Wayuu grazes a few goats, the rest get upset.",Si un wayuu pastorea unos cuantos chivos los demás se molestan,,,neko father
08:03,08:09,"That happens due to the lack of water, because the water
brought good life to all","Eso pasa por la falta de agua, porque el agua
traía buena vida para todos",,,neko father
08:11,08:16,"for animals, people, children,
Because they all drink water","para los animales, las personas, los niños,
Porque todos beben del agua",,,neko father
08:17,08:22,"Because it is from water that food is sown,
If there is no water, what will there be?","Porque del agua es que se siembran los alimentos,
Si no hay agua ¿qué es lo que va a haber?",,,neko father
08:23,08:28,"For example, this little bit of water that is here in the jaguey
When it runs out or dries up you won't see anything","Por ejemplo, este poquito de agua que está aquí en el jaguey
Cuando se acabe o se seque no va a ver nada",,,neko father
08:29,08:34,"Even if I try to dig a hole under the jagüey with suffering,
So be it for a little water it would be in vain","Aunque intente cavar un hoyo debajo del jagüey con sufrimiento,
Así sea para un poco de agua sería en vano",,,neko father
08:35,08:39,"Meanwhile, he is thinking of a mill or a water well
that is miles from here","Mientras, está pensando en un molino o un pozo de agua
que se encuentra a kilómetros de aquí",,,neko father
08:40,08:45,"Even if the Wayuu travels several kilometers to
get to the place even for a jug of water","Aun si el wayuu recorre varios kilómetros hasta
llegar al lugar así sea por una jarra de agua",,,neko father
08:46,08:49,Why is it necessary for you to help people with water?,"¿Porque es necesario para ti, ayudar a las personas con el agua?",,,neko father
08:50,08:55,"It is necessary to ask for help from the earth and from you, the Arijunas.",es necesario pedir ayuda a la tierra y a ustedes los Arijunas,,,neko father
08:56,08:59,because you work with water that comes from afar,porque ustedes trabajan con el agua que viene de lejos,,,neko father
09:01,09:07,They work so that water reaches the villages,Trabajan para que el agua llegue a los pueblos,,,neko father
09:09,09:12,We are waiting for you to help us too,Estamos pendientes para que nos ayuden a nosotros también,,,neko father
09:13,09:16,To ask that they bring us water here in the house from there,Para pedir que nos traigan agua aquí en la casa desde allá,,,neko father
09:17,09:21,"Because if there is water, our traditions of
a healthy coexistence","Porque si hay agua regresa nuestras tradiciones de
una sana convivencia",,,neko father
09:22,09:28,"Return of abundance in food,
planting and sharing with others","Regresa la abundancia en alimentos,
la siembra y el compartir con los demás",,,neko father
09:29,09:32,"People relate to each other
in the communities","Las personas se relacionan entre sí
en las comunidades",,,neko father
09:33,09:38,"Why are we so envious?, for the
lack of water, it is something very necessary for us","¿Porque estamos así de envidiosos?, por la
falta de agua, es algo muy necesario para nosotros",,,neko father
09:39,09:44,"For example, if water aid arrives in a neighboring community
give away a mill or a mini aqueduct","por ejemplo, si en una comunidad vecina llega una ayuda de agua
regalan un molino o un mini acueducto",,,neko father
09:45,09:51,"Here they must also give the same, as well as in the others,
because that way we would all have water without any problem","Aquí también deben regalar lo mismo, así como en las demás,
porque así todos tendríamos agua sin ningún problema",,,neko father
09:52,09:55,With that help we can rebuild many things,Con esa ayuda podemos reconstruir muchas cosas,,,neko father
09:56,10:00,what our ancestors did with plenty of rain.,lo que hacían nuestros antepasados con abundancia de lluvia.,,,neko father
10:01,10:05,And another life expectancy?,¿Y otra esperanza de vida?,,,neko father
10:06,10:11,So why do we run to what is called town?,Entonces ¿por qué corremos a lo que se llama pueblo?,,,neko father
10:12,10:16,Because we want the town hall to help us,Porque queremos que la alcaldía del pueblo nos ayude,,,neko father
10:17,10:20,They would help us with good things,Nos ayudarían con cosas buenas,,,neko father
10:21,10:24,"like water, because water provides us with everything","como el agua, porque el agua nos provee de todo",,,neko father
10:25,10:31,"He is the one who gives food, animals","Es el que da alimentos, animales",,,neko father
10:32,10:34,The one who gives good friends too,El que da buenos amigos también,,,neko father
10:36,10:40,Everything we need we build with water,Todo lo que necesitamos lo construimos con el agua,,,neko father
10:41,10:46,"Because we know how to use it since ancient times
Because we grew up in nature,","Porque nosotros sabemos usarlo desde tiempos antiguos
Porque crecimos en la naturaleza,",,,neko father
10:47,10:49,and we know many things,y sabemos muchas cosas,,,neko father
10:50,10:53,That's why kids didn't get sick before,Por eso es que los niños no se enfermaban antes,,,neko father
10:54,10:57,That's why there was no mistreatment between us,Por eso es que no había malos tratos entre nosotros,,,neko father
11:00,11:06,When there was water we helped each other,Cuando había agua nos ayudamos unos a otros,,,neko father
11:07,11:12,"We built a very large apain (orchard)
where we grow food","Construímos un apain(huerto) muy grande
Donde sembramos la comida",,,neko father
11:14,11:19,We planted food in quantity such as beans,Sembrábamos alimentos en cantidad como el frijol,,,neko father
11:20,11:25,"Corn, sideburns, pumpkin among others.","El maíz, la patilla, la calabaza entre otros.",,,neko father
11:26,11:31,"Our relatives, nephews and close people arrived
To help each other in the construction","Llegaban nuestros familiares, sobrinos y personas cercanas
Para ayudarnos mutuamente en la construcción",,,neko father
11:33,11:39,"that's where there was opportunity for life, where each one
I harvested a sack of beans","ahí es donde había oportunidad de vida, donde cada uno
Cosechaba un saco de frijol",,,neko father
11:40,11:43,He took it to exchange for other goods.,Lo llevaba para intercambiar por otros bienes.,,,neko father
11:44,11:46,So they gave him something for the exchange,Entonces le daban algo por el intercambio,,,neko father
11:47,11:51,Our little children,Nuestros hijos pequeños,,,neko father
11:53,11:56,They had the milk of our animals,Tenían la leche de nuestros animales,,,neko father
11:57,12:00,"Like the goat, the sheep or the cow, if we have animals","Como el chivo, el ovejo o la vaca, si tenemos animales",,,neko father
12:02,12:07,They extract it to make cheese by pressing it,Lo extraen para elaborar queso prensándolo,,,neko father
12:08,12:13,It was also used to drink it and for children to drink it,También servía para beberlo y para que los niños lo tomaran,,,neko father
12:14,12:18,"It was very good because it did not bring disease, all
We drank it until we were satisfied","Era muy bueno porque no traía enfermedad, todos
Lo bebíamos hasta quedar satisfechos",,,neko father
12:19,12:22,So they all worked in the garden,Entonces todos trabajaban en el huerto,,,neko father
12:23,12:25,Each one contributed to the construction and planting,Cada uno aportaba a la construcción y siembra,,,neko father
12:26,12:30,"If something happens, we all contribute
We always have something to pay","Si llega a pasar algo todos aportamos
Siempre Tenemos algo para pagar",,,neko father
12:31,12:36,"Future conflicts may come, which may commit
our nephews, grandchildren or a member of the family","pueden venir Futuros conflictos, que pueden cometer
nuestros sobrinos, nietos o algún integrante de la familia",,,neko father
12:37,12:39,"Or the person who asks us for help, who lives with us
here in the community","O la persona que nos pida ayuda, que vive con nosotros
Aquí en la comunidad",,,neko father
12:40,12:42,in this way of living.,en esta forma de vivir.,,,neko father
12:43,12:45,Can you clarify that again?,¿Puedes aclararlo otra vez?,,,neko father
12:46,12:49,He said that if they give us water he will not see disease,Decía que si nos dan el agua no va a haber enfermedad,,,neko father
12:50,12:53,On earth everything would be alright,En la tierra Todo estaría bien,,,neko father
12:54,12:59,If the arijunas of the city help us,Si nos ayudan los arijunas de la ciudad,,,neko father
13:00,13:03,We'd love to hear about starving children.,Nos encantaría escuchar sobre los niños que mueren de hambre,,,neko father
13:04,13:08,Children who say they die from malnutrition,Los niños que dicen que mueren por desnutrición,,,neko father
13:09,13:12,It is because of the bad life that there is and the lack of food,Es por la mala vida que hay y la falta de alimento,,,neko father
13:13,13:18,"His mother does not have enough food to
produce milk for a baby","Su madre no tiene suficiente alimento para
producir leche para un bebe",,,neko father
13:19,13:22,In addition to the lack of resources in the children's house,Además de la falta de recursos que hay en la casa de los niños,,,neko father
13:25,13:30,"There are days when children go hungry and eat at the time they
find food","hay días que los niños pasan hambre y comen a la hora que
encuentran alimento",,,neko father
13:31,13:36,"because food is scarce
That's why children get sick","Porque el alimento es escaso
Por eso es que los niños se enferman",,,neko father
13:38,13:43,"For example, if they deliver the water that comes from the town","Por ejemplo, si entregan el agua que viene del pueblo",,,neko father
13:44,13:49,You won't see children dying,No va a haber niños muriendose,,,neko father
13:50,13:53,The earth will be composed as in ancient times,La tierra se va a componer como en tiempos antiguos,,,neko father
13:54,13:58,"That's why we need the water
Above all things.","Por eso es que necesitamos el agua
Por encima de todas las cosas.",,,neko father
13:59,14:03,Done. Why do we have good material?,Listo ¿Porque tenemos buen material?,,,neko father
14:04,14:09,"For example, this water that you are seeing
It is what we drink now","Por ejemplo, esta agua que están viendo
Es el que tomamos nosotros ahora",,,neko father
14:11,14:17,"Why do we drink it?, because we don't have any
Drinking water near here","¿Porque lo tomamos?, porque no tenemos ningún
Agua potable cerca de aquí",,,neko father
14:18,14:21,"That's why we use this water, we come looking for it
And we take it to our homes","Por eso utilizamos esta agua, venimos a buscarlo
Y lo llevamos a nuestras casas",,,neko father
14:22,14:26,The town is too far from here to be able to go get water,El pueblo está muy lejos de aquí para poder ir a buscar agua,,,neko father
14:27,14:32,"In addition, a transport is needed to bring it from there and
we don't have that","Además se necesita un transporte que lo traiga de allá y
No contamos con eso",,,neko father
14:33,14:37,When this water runs out we will suffer a lot,Cuando esta agua se acabe vamos a sufrir mucho,,,neko father
14:38,14:43,"This is the water we're drinking while it lasts,
That's why we need you to help us","Este es el agua que estamos tomando mientras dure,
Por eso es que necesitamos que nos ayuden",,,neko father
14:44,14:48,"If the world sees us, they would help with the water we need","Si el mundo nos ve, ayudarían con el agua que necesitamos",,,neko father
14:49,14:51,Then we would no longer have to drink from this jaguey,Entonces ya no tendríamos que tomar de este jaguey,,,neko father
14:52,14:54,Our life would change.,Nuestra vida cambiaría.,,,neko father
