Start Time,End Time,EN,ES,Highlight,Comments,Speaker
00:11,00:15,Regarding what we were talking about in the kitchen now,Con respecto a lo que estábamos hablando en la cocina ahora,,,pinta abuela
00:16,00:19,What is what women do to their faces ?,¿En qué consiste lo que se hacen las mujeres en la cara?,,,pinta abuela
00:20,00:22,The Acheepa? (wayuu makeup),"¿El Acheepa?
(maquillaje wayuu)",,,pinta abuela
00:23,00:25,"Yes, they say there is one for the sun","Si, dicen que hay uno para el sol",,,pinta abuela
00:26,00:33,That for skin rejuvenation,Eso para el rejuvenecimiento de la piel,,,pinta abuela
00:34,00:35,that one I did,Esa que hice,,,pinta abuela
00:36,00:40,Wayuu makeup is for the yonna (dance),El maquillaje wayuu es para la yonna (danza),,,pinta abuela
00:43,00:45,the one i did,Esa que hice,,,pinta abuela
00:46,00:47,Now,Ahora,,,pinta abuela
00:48,00:54,"Before, according to the tales, did the makeup began
for a dream?","antes según los relatos, ¿el maquillaje comenzó
por un sueño?",,,pinta abuela
00:55,01:03,"Yes of course, dreams were the origin of that","Si claro, los sueños fueron el origen de eso",,,pinta abuela
01:04,01:08,The piachi (spiritualist) said what to do based on the dream,La piachi (espiritista) decía que hacer en base al sueño,,,pinta abuela
01:09,01:16,"Whether it's for Yonna or for family flags, that's part
of the stories too","Sea para yonna o para banderas familiares, eso son parte
de los relatos también",,,pinta abuela
01:17,01:24,"Now, if we are treating someone,
we lock them up and perform a ritual","Ahora, si estamos tratando a alguien, si lo
encerramos y le hacemos un ritual",,,pinta abuela
01:25,01:31,"It has a price, something good as a
reward for the work done","Tiene un precio, se pide algo bueno como
recompensa del trabajo realizado",,,pinta abuela
01:33,01:37,Well that's mostly for the people who want it,"Bueno, eso es más que todo para las personas que lo quieren",,,pinta abuela
01:38,01:46,"Well, as I was saying, the dream asks for it
sometimes to heal a child of some disease","Bueno como te venía diciendo, el sueño lo pide a
veces para sanar a un niño de alguna enfermedad",,,pinta abuela
01:47,01:53,"If it is to heal a child, draw a
semi spiral in his hands","Si es para sanar a un niño se dibuja una
semi espiral en sus manos",,,pinta abuela
01:54,01:59,"Although to make it effective a ritual
must be done to heal completely","Aunque para hacerlo efectivo se debe hacer
un ritual para que sane completamente",,,pinta abuela
02:03,02:06,And does makeup serve as a sunscreen?,Y ¿el maquillaje sirve como bloqueador?,,,pinta abuela
02:07,02:15,"Yes, when looking for water it is applied in
the whole face, also for walking","Si, cuando se busca agua se aplica en
todo el rostro, también para caminar",,,pinta abuela
02:16,02:20,"that's the makeup
of women to go out","ese es el maquillaje
de las mujeres para salir",,,pinta abuela
02:24,02:26,How is the makeup done?,¿Cómo se hace el maquillaje?,,,pinta abuela
02:28,02:37,"The suet of a small sheep is cooked or fried
and white, they stir it until it is thick,","Se cocina o se frita el sebo de una oveja pequeña
y blanca, lo revuelven hasta que quede espeso,",,,pinta abuela
02:38,02:46,Then they apply it together with the pali´isa (a type of red chalk) on the face leaving only their eyes uncovered,"Luego se lo aplican junto con la pali´isa (tiza roja)
quedando descubierto nada más sus ojos",,,pinta abuela
02:47,02:50,Can you tell us a little more about the pali´isa?,Nos puedes contar un poco más de la pali´isa,,,pinta abuela
02:51,02:56,"Wayuu makeup is for the yonna, instead the other","El maquillaje wayuu es para la yonna, en cambio lo otro",,,pinta abuela
02:57,03:06,"What I was telling you, it's more spiritual
which is usually requested through a dream.","Que les estaba diciendo, es más espiritual
que por lo general se pide a través de un sueño.",,,pinta abuela
03:07,03:11,"The acheepa has been something very ancestral by our grandparents,","El achepa ha sido algo muy ancestral por nuestros abuelos,",,,pinta abuela
03:12,03:17,"But, it has endured thanks to the new generation","Pero, ha perdurado gracias a la nueva generación",,,pinta abuela
03:19,03:21,That's what our old folks say,Eso es lo que dicen nuestros viejos,,,pinta abuela
03:22,03:29,"Today there are many forms of makeup
as well as different figures","Hoy en día hay muchas formas de maquillaje
así como distintas figuras",,,pinta abuela
03:30,03:36,"figures such as family symbols, the spiral among others.","figuras como los símbolos familiares, la espiral entre otras.",,,pinta abuela
03:37,03:40,Can you tell us a little more about that?,Nos puedes hablar un poco más de eso,,,pinta abuela
03:41,03:48,"Those figures in the days before were just
on the cheek separately","Esas figuras en lo tiempos de antes eran solo
en el cachete por separado",,,pinta abuela
03:49,03:53,Little by little they were shaped in the face.,Se plasmaron poco a poco en la cara.,,,pinta abuela
03:54,03:59,There are many figures not seen now,Hay muchas figuras que no se ven ahora,,,pinta abuela
04:00,04:04,Those that were not transmitted by stories,Aquellos que no fueron transmitidos por relatos,,,pinta abuela
