Start Time,End Time,EN,ES,Highlight,Comments,Speaker
00:04:24:08,00:04:25:08,What does that mean?,¿Qué   significa eso,,,romelia
00:04:25:08,00:04:28:08,symbols that are being put?,símbolos que se están  poniendo?,,,romelia
00:04:29:11,00:04:32:11,"ah, what I'm going to place here.","ah, lo que voy a colocar aquí.",,,romelia
00:04:32:14,00:04:35:14,It is the symbol of the sun,Es el  símbolo del sol,,,romelia
00:05:30:05,00:05:33:05,here,aquí,,,romelia
00:05:53:23,00:05:56:23,and,y,,,romelia
00:06:40:14,00:06:40:23,this.,este.,,,romelia
00:06:57:03,00:07:00:03,Is,Es,,,romelia
00:08:27:16,00:08:29:04,the same.,el mismo.,,,romelia
00:08:29:04,00:08:32:04,AND,Y,,,romelia
00:08:32:17,00:08:33:11,these.,estos.,,,romelia
00:08:33:11,00:08:36:23,These paintings are going to be for parties only.,Estas pinturas van a ser únicamente para fiestas,,,romelia
00:08:37:12,00:08:40:12,"and they are like, they are the fine ones","y son como, son de las finas",,,romelia
00:08:40:13,00:08:41:18,"because there are others too, kind of…","porque hay otros también, tipo de…",,,romelia
00:08:41:18,00:08:46:07,"as for daily and this is it,","como para diario y es esta,",,,romelia
00:08:47:09,00:08:47:19,which is a,que es una,,,romelia
00:08:47:19,00:08:50:19,kind of canned powder.,especie de polvo hecho en conserva.,,,romelia
00:08:52:08,00:08:55:08,Is this.,Es este.,,,romelia
00:08:55:12,00:08:57:11,And where does the dust come from?,¿Y de dónde viene el polvo?,,,romelia
00:08:57:11,00:09:01:05,It is from female tree fungus species,Es de especies de hongos de árboles hembra,,,romelia
00:09:01:05,00:09:05:21,that they produce from the mountains and that occurs when it is already winter.,que producen de la sierra y eso se da cuando ya es invierno.,,,romelia
00:09:06:00,00:09:09:00,By,Por,,,romelia
00:09:09:13,00:09:12:13,"when it is cold, that produces the cold","cuando hay frío, eso produce el frío",,,romelia
00:09:12:21,00:09:15:08,species of mushrooms. It has its time,especie de hongos. Tiene su tiempo,,,romelia
00:09:15:08,00:09:18:08,"in winter, that happens in November.","en invierno, eso se da en noviembre.",,,romelia
00:14:25:10,00:14:26:04,So,¿Entonces,,,romelia
00:14:26:04,00:14:30:07,"can you introduce yourself, who are you, what do you really do?","puedes introducirse a usted, ¿quién eres, qué haces realmente?",,,romelia
00:14:49:01,00:14:50:01,"I introduce myself,","Yo me presento,",,,romelia
00:14:50:01,00:14:52:08,"my name is Romelia Montiel,","mi nombre es Romelia Montiel,",,,romelia
