Start Time,End Time,EN,ES,Highlight,Comments,Speaker
00:17,00:22,Can you tell us a bit about how,Puedes hablarnos un poco sobre como funcionan,,,tejedora abuela
00:23,00:27,"The plants work when someone is sick. How
do you identify them?","Las plantas cuando alguien está enfermo ¿Cómo
lo identifican ustedes?",,,tejedora abuela
00:31,00:34,"I have heard, for example, that plants are known
through dreams","He escuchado, por ejemplo, que las plantas se conocen
a través de los sueños",,,tejedora abuela
00:35,00:39,Also because they are in our environment,También porque están en nuestro ambiente,,,tejedora abuela
00:40,00:45,Can you talk about that now? Yes of course.,Puedes hablarnos sobre eso. ¿ahora? Si claro.,,,tejedora abuela
00:49,00:55,Our female elders know about plants through sleep,Nuestras mayoras conocen las plantas a través del sueño,,,tejedora abuela
00:57,01:00,These are plants that our father Juya gives us (rain),Son plantas que nos regala nuestro padre Juya (lluvio),,,tejedora abuela
01:01,01:07,"They dream of the plant, he meets them and they become their
recommended medicines","Ellas sueñan con la planta, las conoce y se convierte en sus
medicinas recomendables",,,tejedora abuela
01:08,01:13,"This is how they learned about the plants, our traditional medicines.","Así conocieron las plantas, nuestras medicas tradicionales",,,tejedora abuela
01:14,01:19,"Plants like kinouta, wuinpiraicha, samu'tapaya and malambo.","Plantas como, kinouta, wuinpiraicha, samu´tapaya y malambo.",,,tejedora abuela
01:21,01:25,"We also know those that we find on the banks
of the stream, we know those as well","También aquellas que encontramos a las orillas del
arroyo, ya las conocemos",,,tejedora abuela
01:27,01:28,That's what the old women told me,Así me han dicho las ancianas,,,tejedora abuela
01:30,01:35,That's what I can tell you for now,Eso es lo que les puedo decir por ahora,,,tejedora abuela
01:37,01:46,"I also want to tell you that I am very happy
for seeing my fabrics, thank you my grandson who records me","Les quiero decir también que estoy muy contenta
por ver mis tejidos, gracias mi nieto que me graba",,,tejedora abuela
01:47,01:49,This shows what we are for years,Que muestra lo que somos desde hace años,,,tejedora abuela
01:50,01:59,"Do you remember when we met last time, I
I am very glad that Neko is dedicating to this","Recuerdas cuando nos reunimos la vez pasada, me
alegro mucho que Neko se dedique a esto",,,tejedora abuela
02:00,02:07,"I am a Christian and I ask God to allow
everything to go well because I know that later","Yo soy cristiana y le pido a Dios que permita que
todo les salga bien porque se más adelante",,,tejedora abuela
02:08,02:14,"You will help me and that if something happens to me, I know that
he will say it to those who see and hear me.","me ayudaran y que, si me sucede algo, sé que él se
lo dirá a los que me ven y escuchan.",,,tejedora abuela
02:15,02:21,"I was going to be busy today, I was going to a funeral","Yo me iba a ocupar el día de hoy, iba para un velorio",,,tejedora abuela
02:22,02:29,"But I had this commitment to you and I must fulfill it
because I really appreciate what you do","Pero, tenia el compromiso con ustedes y debo cumplirles
porque aprecio mucho lo que hacen",,,tejedora abuela
02:31,02:37,"I told myself that what you (are doing) is very good and I know
that later you will remember me","Me decía a mi misma que es muy bueno lo que ustedes (están haciendo) y se
que más adelante se acordaran de mi",,,tejedora abuela
02:38,02:47,"I am very happy and grateful for the threads that
you gave me as a gift because you help me in one way or another","Estoy muy contenta y agradecida por los hilos que
me regalaron ya que me ayudan de alguna u otra forma",,,tejedora abuela
02:48,02:56,"I just hope you don't give me the threads only now,
but also when you are successful","solo espero que no solo me den los hilos por ahora,
sino también cuando tengan éxitos",,,tejedora abuela
02:57,03:01,"Because that's how I can keep knitting too.
I have been knitting for so many years","Porque así yo sigo tejiendo también.
Ya llevo muchos años tejiendo",,,tejedora abuela
03:02,03:06,Here are some children that I take them to see the yonna,Acá hay unos niños que los llevo para que vean la yonna,,,tejedora abuela
03:08,03:10,I always take those children,Me llevo siempre a esos niños,,,tejedora abuela
03:11,03:13,They’ve been with me for several years now and it makes me glad,Ya tienen años conmigo y me alegra,,,tejedora abuela
03:14,03:22,"Here I have a grandson, and I imagine him working like you,
I want him to think of big things","Acá tengo un nieto, y me lo imagino trabajando como ustedes,
quisiera que el pensara en cosas grandes",,,tejedora abuela
03:23,03:29,"And well, that's what I wanted to tell you today","Y bueno, eso es lo que les quería decir el día hoy",,,tejedora abuela
03:30,03:34,Well I figured you wanted to know too,Bueno lo que supuse que querían saber también,,,tejedora abuela
03:36,03:40,"That's right, thank God that we're okay","Así es, agradecerle a Dios por que estamos bien",,,tejedora abuela
03:41,03:45,Well and to continue with the theme of plants,Bueno y para continuar con el tema de las plantas,,,tejedora abuela
03:46,03:51,"Could you tell us which plant you have come to know through
any dream you have had?","Podrías decirnos ¿cuál planta has conocido por algún
sueño que hayas tenido?",,,tejedora abuela
03:52,03:54,A new one you didn't know before,Una nueva que no conocías antes,,,tejedora abuela
03:55,04:03,"Do not tell us the ones we already know, but one that only you
you met through your dream","No nos digas las que ya conocemos sino una que solo tu
conociste por tu sueño",,,tejedora abuela
04:04,04:13,"Or can you tell us a story about someone
that discovered a plant through the dream","O puedes contarnos algún relato sobre alguna persona
que haya descubierto una planta a través del sueño",,,tejedora abuela
04:14,04:21,It could be the Yonira who dreamed of a plant that only she knows,Puede ser la Yonira que soñó con una planta que solo ella conoce,,,tejedora abuela
04:22,04:23,oh sure it could be that,Ah claro puede ser eso,,,tejedora abuela
04:24,04:30,"Once a lady came up to me at the moment
I was knitting","Una vez llego hacia mí una señora en el momento que
estaba tejiendo",,,tejedora abuela
04:31,04:34,She told me that she had dreamed of a lady who told her,Me dijo que ella había soñado con una señora que le dijo,,,tejedora abuela
04:35,04:42,"that I was the only one who could prepare the plant
for her to heal","que yo era la única que le podía preparar la planta
para que ella se curara,",,,tejedora abuela
04:43,04:52,"That I should prepare it for her because I had the same
disease than she had","Que yo debía preparárselo debido a que tuve la misma
enfermedad que ella",,,tejedora abuela
04:53,05:00,"Since I dreamed of the plant that cured me, I should
prepared it for it to be effective","Como yo soñé con la planta que me curo, debía
preparárselo yo para que fuera efectiva",,,tejedora abuela
