Start Time,End Time,EN,ES,Highlight,Comments,Speaker
00:00:02:15,00:00:05:15,Good.,Bueno.,,,weildler
00:00:05:17,00:00:07:01,"Well,","Bueno,",,,weildler
00:00:07:01,00:00:10:01,"first of all, if you could tell us.","primero que todo, si nos podrías.",,,weildler
00:00:11:09,00:00:12:15,If you could,Si nos podrías.,,,weildler
00:00:12:15,00:00:13:19,Introduce yourself?,¿Introducirse?,,,weildler
00:00:13:19,00:00:14:13,Yeah.,Sí.,,,weildler
00:00:14:13,00:00:17:22,"Well, my name is Weilder Guerra Curbelo,","Bueno, mi nombre es Weilder Guerra Curbelo,",,,weildler
00:00:17:22,00:00:21:06,I am an anthropologist from Universidad de Los Andes.,Soy antropólogo de la Universidad de los Andes.,,,weildler
00:00:21:06,00:00:23:18,I am a member of the Wayuú people,Soy miembro del pueblo wayú,,,weildler
00:00:23:18,00:00:26:10,and I have dedicated part of my academic life to studying,y he dedicado parte de mi vida académica a estudiar,,,weildler
00:00:26:10,00:00:29:10,Their history and their society.,su historia y su sociedad.,,,weildler
00:00:29:14,00:00:30:08,Very good.,Muy bien.,,,weildler
00:00:30:08,00:00:33:08,And,Y,,,weildler
00:00:33:08,00:00:35:04,"well, first of all, for someone","bueno, primero que todo, para alguien",,,weildler
00:00:35:04,00:00:37:02,"who knows nothing about Wayuú people,","que no sabe nada del wayú,",,,weildler
00:00:37:02,00:00:40:02,who are they and where are they located?,¿quiénes son y dónde se encuentran?,,,weildler
00:00:40:13,00:00:41:23,They are indigenous people,Son un pueblo indígena,,,weildler
00:00:41:23,00:00:45:11,"located at the north of South America, on the peninsula “La Güajira”","que se encuentra en el norte de Sudamérica, en la península",,,weildler
00:00:45:11,00:00:48:11,shared by Colombia and Venezuela.,"de La Guajira, que comparten Colombia y Venezuela.",,,weildler
00:00:48:21,00:00:51:15,They are the largest town in Colombia,Son el pueblo más numeroso de Colombia,,,weildler
00:00:51:15,00:00:54:11,and the largest indigenous people in Venezuela.,y el pueblo indígena más numeroso de Venezuela.,,,weildler
00:00:54:11,00:00:57:20,Their language is Wayuúnaiki and there’s an estimate of,Su lenguaje es el wayuúnaiki y puede estar conformado,,,weildler
00:00:57:20,00:01:00:23,"some 800,000 of these individuals in both countries.",por unos 800.000 individuos en ambos países.,,,weildler
00:01:01:22,00:01:04:14,Ok. And,Ok. ¿Y,,,weildler
00:01:06:11,00:01:07:03,"well,","bueno,",,,weildler
00:01:07:03,00:01:10:10,and right now where are we?,y ahora mismo dónde nos encontramos?,,,weildler
00:01:10:13,00:01:12:00,We are,Nos encontramos,,,weildler
00:01:12:00,00:01:12:17,"In Riohacha,","En Riohacha,",,,weildler
00:01:12:17,00:01:14:14,"capital of the department La Güajira,","capital del departamento de La Guajira,",,,weildler
00:01:14:14,00:01:16:23,in the Colombian Republic.,en la República de Colombia.,,,weildler
00:01:16:23,00:01:18:00,Very good.,Muy bien.,,,weildler
00:01:18:00,00:01:20:02,And,Y,,,weildler
00:01:20:02,00:01:23:02,"well, for many years you have been","bueno, usted tiene muchos años",,,weildler
00:01:23:02,00:01:26:02,working with the Wayúu and you are Wayúu as well.,trabajando con el wayúu y usted es wayúu también.,,,weildler
00:01:26:12,00:01:29:15,Can you tell me a little about your family and your work?,¿Me puede contar un poco de su familia y de su trabajo?,,,weildler
00:01:30:09,00:01:33:21,"Well, my family is originally from a pearl fishing","Bueno, mi familia es originaria de una región de pesca",,,weildler
00:01:33:21,00:01:35:02,"region,","de perlas,",,,weildler
00:01:35:02,00:01:38:04,"near El Cabo de la Vela, which is called Carrizal","cercana al Cabo de la Vela, que se llama Carrizal",,,weildler
00:01:38:21,00:01:41:18,and our territory is called Manuyalu'u,"y el territorio nuestro se llama Manuyalu'u,",,,weildler
00:01:41:18,00:01:45:21,which is a territory inhabited by my ancestors,que es un territorio habitado por mis antepasados,,,weildler
00:01:46:09,00:01:49:09,since the end of the 19th century.,desde finales del siglo XIX.,,,weildler
00:01:49:19,00:01:52:19,Okay.,Okey.,,,weildler
00:01:54:12,00:01:55:07,And the work,Y el trabajo,,,weildler
00:01:55:07,00:01:59:19,"that you have done, more than anything you are a teacher, but also","que usted ha hecho, más que todo es profesor, pero también",,,weildler
00:02:00:01,00:02:02:21,"Have you done other things, other professions?","¿Ha hecho otras cosas, otras profesiones?",,,weildler
00:02:02:21,00:02:05:21,"Yes, I have served as a public official","Sí, me he desempeñado como funcionario público",,,weildler
00:02:06:08,00:02:08:01,"at least on two occasions,","por lo menos en dos oportunidades,",,,weildler
00:02:08:01,00:02:10:12,"as Secretary of Indigenous Affairs,","como secretario de Asuntos Indígenas,",,,weildler
