Start Time,End Time,EN,ES,Highlight,Comments,Speaker
00:01:20:08,00:01:24:01,"Well, I have been asking you a lot about the Wayúu people,","Bueno, he estado preguntándole mucho de la gente wayúu,",,,weildler
00:01:24:01,00:01:27:09,but you personally,pero usted personalmente,,,weildler
00:01:28:03,00:01:30:16,in what ways do you interact,¿en cuáles maneras interactúa,,,weildler
00:01:30:16,00:01:35:19,"with nature, that is, with humans","¿con la naturaleza, o sea, con el humano",,,weildler
00:01:35:19,00:01:40:08,or is there a river or a tree down there that you connect with?,o hay un río o un árbol allá abajo que conecta con usted?,,,weildler
00:01:41:17,00:01:44:22,Well this city is called “Río de la Hacha” (Ax River),Bueno esta ciudad se lla río de la hacha,,,weildler
00:01:45:14,00:01:49:02,"and this is the river, in wayuunaiki it is said suchi'i,","y este es el río, en wayuunaiki se dice suchi´i,",,,weildler
00:01:49:18,00:01:52:18,"It is the most important river in La Guajira,","es el río más importante de la Guajira,",,,weildler
00:01:53:12,00:01:56:12,"perhaps the only one in the Wayúu territory,","quizás el único del territorio wayúu,",,,weildler
00:01:57:01,00:02:00:14,"which has many streams that dry up in summer,","el cual tiene muchos arroyos que se secan en verano,",,,weildler
00:02:01:00,00:02:04:00,but this is the most important river of the Wayuú.,pero este es el río más importante de los wayú.,,,weildler
00:02:04:10,00:02:07:05,"and Ríohacha for the Wayúu is called Suchima,","y ríohacha para los wayúu se llama suchima,",,,weildler
00:02:07:05,00:02:10:09,"This is a serpent river, a path river.","Este es un río serpiente, un río camino.",,,weildler
00:02:10:22,00:02:13:14,It is linked to the stories of the Wayuú,Está ligado a las historias de los wayú,,,weildler
00:02:13:14,00:02:16:14,and on the way to the interior of the continent.,y al camino hacia el interior del continente.,,,weildler
00:02:16:21,00:02:19:13,It has the story of a snake,Tiene la historia de una serpiente,,,weildler
00:02:19:13,00:02:23:08,that marks its course in each rainy season.,que marca su cauce en cada época de lluvias.,,,weildler
00:02:23:09,00:02:26:09,That snake is called jerakanauwa,Esa serpiente se llama jerakanauwa,,,weildler
00:02:26:12,00:02:31:03,and many Wayúu settlements are along this river.,y muchos asentamientos wayúu están a lo largo de este río.,,,weildler
00:02:31:13,00:02:36:16,From the middle course of Distracción in the south of La Güajira,"Desde el curso medio de Distracción
en el sur de La Guajira",,,weildler
00:02:37:05,00:02:40:12,"to the mouth here in Riohacha, where it forms","hasta la desembocadura aquí en Riohacha, donde forma",,,weildler
00:02:40:12,00:02:44:04,a Delta with the sea and where there is a lot of bird life,un delta con el mar y donde hay mucha vida de aves,,,weildler
00:02:44:18,00:02:49:04,"pelicans, cormorants and formerly alligators.","pelícanos, cormoranes y antes caimanes.",,,weildler
00:02:49:12,00:02:53:05,And it is a river of many tales for the Wayuú.,Y es un río de muchos relatos para los wayú.,,,weildler
00:02:53:18,00:02:56:18,"Also, a kind of living being","También, una especie de ser viviente",,,weildler
00:02:56:22,00:03:01:02,"that generates a way of life, the way of life of the river","que genera una forma de vida, la forma de vida del río",,,weildler
00:03:01:17,00:03:04:02,and that has a forest that gives fruits,y que tiene un bosque que da frutos,,,weildler
00:03:04:02,00:03:05:14,"and that also gives food,","y que también da alimentos,",,,weildler
00:03:06:16,00:03:09:08,fish and other types of food.,peces y otro tipo de alimentos.,,,weildler
00:03:09:08,00:03:09:18,"Therefore,",De manera,,,weildler
00:03:09:18,00:03:12:18,this river is key in giving its name to this city,que este río es clave en darle nombre a esta ciudad,,,weildler
00:03:12:22,00:03:14:03,which is Riohacha.,que es Riohacha.,,,weildler
00:03:14:03,00:03:15:21,It has been its story,Ha sido su historia,,,weildler
00:03:15:21,00:03:19:15,"over time and this river originates in the Sierra Nevada,","a lo largo del tiempo y este río nace en la Sierra Nevada,",,,weildler
00:03:19:15,00:03:20:04,where there are,dónde están,,,weildler
00:03:20:04,00:03:23:23,"the Kogis indigenous people and the Wiwas other indigenous peoples,","los indígenas Koguis y los wiwas otros pueblos indígenas,",,,weildler
00:03:24:09,00:03:27:09,who also have many stories about the river.,que también tienen muchas narraciones acerca del río.,,,weildler
00:03:27:17,00:03:30:16,"So, in some way these rivers are a path and are memory,","De alguna manera estos ríos son camino y son memoria,",,,weildler
00:03:30:19,00:03:33:19,memory of all the people who live along it.,memoria de todos los pueblos que viven a lo largo de él.,,,weildler
00:03:35:22,00:03:38:12,Shocking and the river too,Impactante y el río también,,,weildler
00:03:38:12,00:03:41:12,"is used as a mode of transportation, I guess.","se usa como modo de transporte,supongo.",,,weildler
00:03:41:18,00:03:44:18,"Well, he is navigable only in the lower part,","Bueno, él es navegable sólo en la parte baja,",,,weildler
00:03:44:21,00:03:47:21,"only in this lower area, but","solo en esta parte baja, pero",,,weildler
00:03:48:05,00:03:51:09,Only canoes were used to get from one shore to the other.,solo se utilizaban canoas para pasar de una orilla a otra.,,,weildler
00:03:51:21,00:03:55:13,"In Wayúu Riohacha is called suchimalü, suchima","En wayúu  Riohacha se llama suchimalü, suchima",WHITE (8),,weildler
00:03:56:08,00:03:59:11,which was like a river that goes into the earth.,que era como un río que se mete adentro de la tierra.,,,weildler
00:04:01:15,00:04:02:04,That's good.,Qué bien.,,,weildler
00:04:25:21,00:04:28:21,"And then, talking about this river","Y entonces, hablando de este río",,,weildler
00:04:28:23,00:04:32:09,and the stories he has as a being,y los relatos que tiene como un ser,,,weildler
00:04:32:11,00:04:35:15,"Living , can you tell me a little more about that?","viviente, ¿me puede hablar un poco más de eso?,",,,weildler
00:04:36:02,00:04:38:17,What is the river like?,¿Cómo es el río,,,weildler
00:04:38:17,00:04:40:19,"in relation to the people there,","en relación a la gente de ahí,",,,weildler
00:04:40:19,00:04:42:04,of the Wayuú?,de los wayú?,,,weildler
00:04:42:04,00:04:45:14,"The river generates games, games for children,","El río genera juegos, juegos para los niños,",,,weildler
00:04:46:06,00:04:49:04,the Alligator game.,el juego de Caimanes.,,,weildler
00:04:49:04,00:04:50:20,"There is a game called Trapiche, which","Hay un juego que se llama Trapiche, que",,,weildler
00:04:50:20,00:04:54:00,"It's like spinning around a river tree,","es como girar alrededor de un árbol del río,",,,weildler
00:04:54:12,00:04:57:11,water games in which they,juegos acuáticos en los cuales ellos,,,weildler
00:04:58:11,00:05:01:11,"they raise the water with their foot, among the children","levantan el agua con el pie, entre los niños",,,weildler
00:05:01:13,00:05:03:12,"They have a game called sombreros (hats),","tienen un juego que se llama sombreros,",,,weildler
00:05:03:12,00:05:06:03,which is like touching and hiding in the water.,que es como tocarse y esconderse en el agua.,,,weildler
00:05:06:03,00:05:07:19,They have many games,Tienen muchos juegos,,,weildler
00:05:07:19,00:05:10:06,and they are spaces where shaman women,y son espacios donde las mujeres chamanes,,,weildler
00:05:10:06,00:05:13:09,"collect plants for healing,","recolectan plantas para la curación,",,,weildler
00:05:14:03,00:05:16:21,"where women go to wash clothes from the river,","donde las mujeres van a lavar la ropa del río,",,,weildler
00:05:16:21,00:05:19:21,"where young Wayuú couples fall in love,","donde se enamoran las parejas jóvenes de los wayú,",,,weildler
00:05:19:23,00:05:22:01,also on the river bank.,también a la orilla del río.,,,weildler
00:05:22:01,00:05:25:01,Generates a catch at certain times of the year,Genera una pesca en ciertas épocas del año,,,weildler
00:05:25:07,00:05:29:13,and generates a great relationship with the river's own forest.,y genera una gran relación con el bosque propio del río.,,,weildler
00:05:30:19,00:05:32:04,"He changes,","Él va cambiando,",,,weildler
