Start Time,End Time,EN,ES,Highlight,Comments
00:00:04:12,00:00:06:12,What I wanted to say about the land,Lo que quería decir de la tierra,,
00:00:06:13,00:00:07:28,"Mma in the case of the Wayú,","Mma en el caso de los wayú,",,
00:00:07:28,00:00:09:29,is that without a doubt she is,es que sin duda es,,
00:00:11:10,00:00:13:27,"the mother of living beings,","la madre de los seres vivientes,",,
00:00:13:28,00:00:17:22,"of some of them, those who are over it,
because there are other beings like the stars.","de algunos, los que están sobre ella,
porque hay otros seres como los astros.",,
00:00:18:10,00:00:19:09,and other beings,y otros seres,,
00:00:19:10,00:00:20:20,"that are not from her, the sea itself","que no son ella, el mar mismo",,
00:00:20:20,00:00:24:12,"It's not her, it's a sister.","No es ella, es una hermana.",,
00:00:24:13,00:00:28:23,"In the Wayú conception,
she has a capacity of transformation","En la concepción wayú,
ella tiene una capacidad de transformación",,
00:00:28:24,00:00:32:05,"of beings, because the Earth is mysterious","de los seres, porque la tierra es misteriosa",,
00:00:33:14,00:00:38:02,"and when she is mysterious, we do not know her will","y cuando es misteriosa, que desconocemos su voluntad",,
00:00:38:03,00:00:42:27,"to transform or to change, transform
what’s on it.","de transformar o de cambiar, transforma
lo que está sobre ella.",,
00:00:42:28,00:00:46:21,"And humans are part of that,
but also the animals, the plants.","Y los humanos son parte de eso,
pero también los animales, las plantas.",,
00:00:47:15,00:00:50:13,"So the Wayuú have that notion
of the mysteriousness of the earth.","Entonces lo wayuú tienen esa noción
de lo misterioso de la tierra.",,
00:00:51:12,00:00:53:25,"Sometimes it's reckless,","A veces es imprudente,",,
00:00:53:26,00:00:57:28,"sometimes it's reckless,","a veces es imprudente,",,
00:00:57:29,00:01:01:08,"curious, confused, curious","curiosa, confusa, siente curiosidad",,
00:01:03:18,00:01:05:19,"and unpredictable, and","y impredecible, y",,
00:01:07:00,00:01:08:06,There are times when,tiene épocas en que se,,
00:01:08:06,00:01:11:24,"faints like a woman, lifeless,","desmaya como una mujer,exánime,",,
00:01:12:08,00:01:15:21,"In the summer, in the drought, the earth faints.","en el verano, en la sequía, la tierra se desmaya.",,
00:01:16:10,00:01:19:28,"Then Lluvia (rain), which is a
being masculine, hyper masculine,","Entonces Lluvia, que es un
ser masculino, hiper masculino,",,
00:01:21:18,00:01:23:26,appears and it rains.,aparece y llueve.,,
00:01:24:22,00:01:26:28,that rain,Esa lluvia,,
00:01:27:01,00:01:29:24,Wakes her up from her fainting,hace que ella despierte del desmayo,,
00:01:30:12,00:01:34:07,And she explodes all her vitality.,y explote en toda su vitalidad.,,
00:01:34:08,00:01:37:17,"The trees shed leaves, flowers, fruits.","Los árboles echan hojas, flores, frutos.",,
00:01:37:24,00:01:40:03,Animals reproduce,"Los animales se reproducen,",,
00:01:40:05,00:01:41:11,humans also,los humanos también se,,
00:01:41:11,00:01:43:03,reproduce and their,reproducen y sus,,
00:01:43:03,00:01:45:12,"living conditions are greater,","condiciones de vida son mayores,",,
00:01:45:28,00:01:48:22,They are better because today,son mejores porque hoy,,
00:01:48:23,00:01:50:22,everything is abundant.,todo es abundante.,,
00:01:51:05,00:01:53:29,So there,Entonces allí,,
00:01:54:00,00:01:56:15,"we have to see the earth, separating it","tenemos que ver a la tierra, separándola",,
00:01:56:16,00:01:59:29,a bit of the stereotype that has been created,un poco del estereotipo que se ha creado,,
00:02:01:02,00:02:05:18,"sometimes from environmentalist sectors,
sometimes in indigenous peoples themselves","a veces de sectores ambientalistas,
a veces en propios pueblos indígenas",,
00:02:05:19,00:02:09:19,who have also idealized that and,que han idealizado también eso y,,
00:02:11:11,00:02:14:00,something starts forming,se va formando algo,,
00:02:14:01,00:02:16:01,"something we have called global neo-shamanism,","que hemos llamado el neo chamanismo global,",,
00:02:17:12,00:02:21:19,"which is sometimes an idealization
of indigenous peoples and sometimes","que a veces es una idealización
de los pueblos indígenas y a veces",,
00:02:21:20,00:02:27:04,"we erase borders, as if all indigenous
people think the same and they do not think the same.","es borrar las fronteras, como si todos los pueblos
indígenas pensaran lo mismo y no piensan lo mismo.",,
00:02:27:23,00:02:30:10,"Only here, in La Guajira, a few","Sólo aquí, en La Guajira, a pocos",,
00:02:30:11,00:02:33:04,"kilometers, there are the iwa, the Kogi.","kilómetros, están los iwa, los Kogi.",,
00:02:33:14,00:02:34:23,and the wayuú,Y los wayú,,
00:02:34:23,00:02:36:26,They are here at a few kilometers from them.,"estan aquí al pie, a pocos kilómetros de ellos.",,
00:02:37:12,00:02:41:10,They both have completely different cosmologies.,Los dos tienen cosmologías distintas,,
00:02:41:11,00:02:44:29,"And within the Wayú themselves there are also,
Is it different or more or less?","¿y dentro los propios wayú  también hay,
es diferente o más o menos?",,
00:02:45:19,00:02:49:29,"They share it, only there are geo-environmental nuances,","La comparten, solo que hay matices geo ambientales,",,
00:02:50:00,00:02:53:16,"For example,
the stories among the peoples of the sea","por ejemplo,
las narraciones entre los pueblos del mar",,
00:02:54:06,00:02:57:20,"They emphasize marine elements,
for the sea, the","enfatizan los elementos marinos,
para la mar, el",,
00:02:57:21,00:02:59:09,"fisherman,","pescador,",,
00:02:59:10,00:03:03:04,"pastors tend to have that,
but it is the same, that is, they have elements.","los pastores tienden a tener eso,
pero es la misma, o sea, tienen elementos.",,
00:03:03:05,00:03:07:23,"What happens there is a beautiful concept,
who was attributed by","Lo que ocurre allí es un concepto hermoso,
que lo acuñó",,
00:03:07:24,00:03:12:22,"an American psychologist,
They are called dogmatic neighborhoods.","un psicólogo norteamericano,
se llaman los vecindarios doxásticos.",,
00:03:13:21,00:03:15:29,It means that the knowledge,Quiere decir que el conocimiento,,
00:03:16:00,00:03:18:19,"is not universal, it is distributed in neighborhoods.","no es universal, está distribuido en vecindarios.",,
00:03:19:08,00:03:22:20,"The same myth can have its variation if it is
collected","Un mismo mito puede tener una variación si lo
recoges",,
00:03:22:21,00:03:26:15,"inside the territory
that if you pick it up on the seashore, where the fishermen","adentro del territorio
que si lo recoges a orillas del mar, en donde los pescadores",,
00:03:27:14,00:03:28:04,are going to add,le van a poner,,
00:03:28:04,00:03:32:16,"a very marine environment,","un entorno muy marino,",,
00:03:32:18,00:03:37:11,"and that allows us to see
how these narratives have their variations.","y eso nos permite ver
cómo estas narraciones tienen variantes.",,
00:03:37:12,00:03:40:11,That kind of things.,Ese tipo de cosas.,,
00:03:40:26,00:03:45:01,"So for me it is key
then put as emphasis","Entonces, para mí es clave
entonces poner como énfasis",,
00:03:45:02,00:03:48:10,"that, that, first,","eso, eso de, primero,",,
00:03:48:11,00:03:51:23,"indigenous peoples have cosmologies
differentiated.","los pueblos indígenas tienen cosmologías
diferenciadas,",,
00:03:51:24,00:03:54:09,Some peoples have cosmogonies,algunos pueblos tienen cosmogonías,,
00:03:55:02,00:03:57:24,and others have cosmologies,y otros tienen cosmologías,,
00:03:57:25,00:03:59:24,and the difference is key.,y la diferencia es clave.,,
00:03:59:25,00:04:03:08,"Those who are interested in
the origin of the universe,","Aquellos pueblos
que están interesados en el origen del universo,",,
00:04:03:09,00:04:06:16,"in the creation stories of the universe,
They one type of people.","en las historias de creación del universo,
son unos pueblos.",,
00:04:08:00,00:04:12:07,"The Greeks were very interested
in cosmogonies.","Los griegos estuvieron muy interesados
en las cosmogonías.",,
00:04:12:08,00:04:16:01,"The Theogony of Sidon is the story of the gods
and how the world was formed","La Teogonía de Sidón es la historia de los dioses
y de cómo se formó",,
00:04:16:02,00:04:18:19,and makes a genealogy of the gods.,todo el mundo y hace una genealogía de los dioses.,,
00:04:19:04,00:04:23:19,"In the Wayuú world
is more cosmological, they are more curious","En el mundo
wayuú es más cosmológico, está más preocupado",,
00:04:23:20,00:04:29:03,"About the transformation of the universe,
for the modeling of the universe than for its creation.","por la transformación del universo,
por la modelación del universo que por su creación.",,
00:04:29:17,00:04:31:26,"Yes, there are creation narratives.","Sí, hay narraciones sobre creación.",,
00:04:31:27,00:04:34:25,"There may be, but it is not an oral set.","Puede haberla, pero no es un conjunto oral.",,
00:04:34:26,00:04:37:00,"When one examines hundreds of myths,","Cuando uno examina centenares de mitos,",,
00:04:37:25,00:04:41:16,"one begins to find that the emphasis and everything is
in the transformative.","uno empieza a encontrar que el énfasis y todo está
en lo transformativo.",,
00:04:41:17,00:04:44:07,"In fact, they have notions of transformative times","De hecho, tienen nociones de tiempo transformativo",,
00:04:44:25,00:04:49:08,"and they are very interested if their narratives
are about how the universe transforms.","y está muy preocupado si sus narraciones
es cómo el universo se transforma.",,
00:04:49:26,00:04:52:01,That is the big concern.,Esa es la gran preocupación.,,
00:04:52:02,00:04:55:13,"So the explanation
that they give to the world, including the Earth,","Entonces, la explicación
que dan al mundo, incluida la Tierra,",,
00:04:57:00,00:05:00:08,is that,es la de que,,
00:05:00:09,00:05:05:11,"the world has two elements
the physical element, which is the appearance of beings,","el mundo tiene dos elementos
la fisicalidad, que es la apariencia de los seres,",,
00:05:05:12,00:05:06:01,morphology.,morfología.,,
00:05:06:01,00:05:09:24,"That banana that is there, for example, he
has an appearance","Ese plátano que está ahí, por ejemplo, él
tiene una apariencia",,
00:05:09:25,00:05:14:18,"that we are seeing, but they have an interior element,
an interiority","que estamos viendo, pero tienen una interioridad,
una interioridad",,
00:05:15:02,00:05:19:19,"that lives within physicality,
which is the capacity","que habita adentro de la fisicalidad,
que es la agencia,",,
00:05:19:20,00:05:22:26,"the ability to see the universe, to have","la capacidad de ver el universo, de tener",,
00:05:22:27,00:05:25:06,a point of view on the universe,un punto de vista sobre el universo,,
00:05:25:28,00:05:27:29,and to act in the universe.,y de actuar en el universo.,,
00:05:29:22,00:05:32:20,"Much of Western thought,
which is also derived from the Greeks,","Mucho del pensamiento occidental,
que además se deriva de los griegos,",,
00:05:33:17,00:05:37:21,sees some beings as a backdrop.,ve algunos seres como un telón de fondo.,,
00:05:38:07,00:05:40:22,"Like... like Aristotle said,","Como... como dijo,",,
00:05:42:00,00:05:44:16,He considered plants to be the least,como lo consevió Aristóteles las plantas,,
00:05:44:17,00:05:49:29,"who lack intellect
and emotions,","son los menos que carecen de intelecto
y de emociones,",,
00:05:50:00,00:05:53:25,"there are humans,
then the animals, in the Wayuú world it is the other way around.","están los humanos,
luego los animales, en el mundo wayú es al revés.",,
00:05:54:12,00:05:56:06,Plants are naturally wise beings,Las plantas son los seres sabios por naturaleza,,
00:05:57:24,00:05:58:16,They,Ellas,,
00:05:58:16,00:06:00:25,They are the wise ones and then the animals and,son las sabias y luego los animales y,,
00:06:00:26,00:06:02:11,then the humans.,luego los humanos.,,
00:06:02:12,00:06:05:03,That they are the dumbest in the universe.,Que son los más tontos del universo.,,
00:06:05:28,00:06:10:27,Why are plants wiser? They are wiser,"¿Porqué son más sabias las plantas?, son más sabias",,
00:06:10:28,00:06:15:16,"because they were humans in the past
that were transformed.","porque eran humanos en el pasado
que fueron transformados.",,
00:06:16:11,00:06:17:27,Everyone was human.,Todo el mundo era humano.,,
00:06:17:28,00:06:19:11,The entire universe was human.,Todo el universo era humano.,,
00:06:19:11,00:06:24:14,"The stars, the winds,
the animals, everything was human.","Los astros, los vientos,
los animales, todo era humano.",,
00:06:25:11,00:06:27:21,"And suddenly, by Mma,","Y de repente, por Mma,",,
