TIME,TRANSCRIPTION (SESOTHO),TRANSLATION (ENGLISH),NOTES,Notes
00:00-00:07,Lebitso laka ke Lucy,My name is Lucy.,,
00:07-00:23,Ke phetse Lesotho ho tloha ke hlaile. E ka ba lilemo tse mashome a mabeli a metso e supileng ke phela Lesotho.,I have lived in Lesotho since I was born. I have been living in Lesotho for twenty-seven years,,
00:24-00:42,"Ke tsoa Semonkong ha Lepae. 
  Ke motse o hahiloeng pela Semonkong Lodge.","My home is in Semonkong.
  It is a village built next to Semonkong Lodge.",,
00:44-01:20,"Kena le bana beso ba bahlano. 
  Ha e so ke oa bo ts`elela.
  Ntate oaka o ne a sebetsa mineng lemo tse leshome tse fetileng. 
  O se a le phomolong Ha joale.","I have five siblings. 
  I am the sixth child. 
  My father worked in the mines ten years ago. He is on break now.",,
01:21-01:48,`me oaka e sa le a hlokomela bana ho fihlela ka jeno,My mother has been taking care of the children until now.,,
01:48-02:01,,Question,,
02:01- 02:18,Hona joale re Semonkong maletsunyane water fall.,"Now we are in Semonkong, Maletusnyane waterfall.",,
02:19-02:58,"Ke eona water fall e kholo ka hara linaha tsa Africa.
  Ke eona e metsi a teng a tlohang holimo a fihla tlase.
  E boholo ba makholo a mabeli a metso e mene,le botebo ba makholo a ts`eletseng a metso e supileng.","It is the largest waterfall in Africa. 
  
  
  
  It is two hundred and four meters high, and six hundred and seven meters deep",,
03:00-03:41,"Kena le lengolo la LGCSE,e seng e bitsoa grade 12 ha joale.","I have a certificate for LGCSE, which is now called grade 12.",,
03:43-04:43,,*English,,
04:44-05:37,"Matichere aka a fetotseng bophelo baka haholo ha ntse ke le sekolong,ke tichere ea biology le ea accounting. 
  Empa ke tla buoa ka ea accounting haholo,ke ne ke sa tsebe accounting,o ne a nthusa ka nako ea ho phomola,`me ke ile ka pasa thuto ena ho feta bana boohle ka sehlopheng,`me o ile a fetola bophelo baka haholo. 
  Re ne re lula re etsa accounting ha ngata e le hore ke tle ke utloisise,`me le ka jeno ke ntse ke na le tsebo e feletseng ea thuto ena.","Teachers who changed my life a lot while I was at school are the biology and accounting teachers. 
  But I will talk about accounting a lot, I didn't know accounting, he helped me during my free time, and I passed this course better than all the kids in the class, and he changed my life a lot . 
  
  We used to do accounting a lot so that I could understand, and even now I still have full knowledge of this subject",,
06:09-06:40,"Ha ntse ke hola toro eaka e ne e le ho ba mofofise oa liroala-nkhoana. 
  Ho tloha ha ke le sehlopheng sa pele ho isa ho sa bosupa e sa le e le toro eaka. 
  Empa lintho li ile tsa fetoha ha ke se ke le sekolong se phahameng,ea ba ke batla ho ba accountend,le ha e le ho ba ha kea qetella ke ba eona ka ha ha nka ba ka fumana lithuso ho nts`etsa lithuto tsaka pele. 
  Ke qetelletse ke nkile qeto ea ho batla mosebetsi e le ho thusa batsoali ba ka.","Growing up my dream was to be a helicopter pilot. 
  From first to seventh grade it has been my dream. 
  But things changed when I was in high school, I wanted to be an accountant, and I didn't end up being one because I could get grants to further my studies. . 
  I finally decided to look for a job to help my parents.",,
06:40-08:29,,English,,
08:30-09:05,,Question,,
09:05-09:26,"Hona joale ke nahanne ho ba le khoebo eo e leng eaka,e nyane e lekaneng matsoho aka,eo ke tla shebana le eona feela.
  Kek hone ho rarolla mathata ohle a ka bang teng.
  Hona joale ke qalile ka khoebo ea linku,le ho rekisa boea tsona. 
  Khoebo e ntse e hola hanyane ka hanyane.","Now I have thought of having a business that is my own, small enough for my hands, that I will only focus on. 
  
  
  
  Now I started with the business of sheep, and selling their wool.
  
  
  The business is growing bit by bit.",,
09:27-10:23,"Lesotho mona lilemong tsa khale hothoe bo `m`e ba ne ba sena tokelo ea ho ea sekolong kapa hona ho sebetsa. 
  Mosebetsi oa bona e ne e le ho lula hae ba hlokomele le ho holisa bana. 
  Empa lilemong tsa ha joale lintho li fetohi,re se re lekana ka litokelo. 
  Basali ba se ba kena sekolo,bae a likolong. 
  Hape mosali o se a ka phela a sena bana,a sebetsa feela,kapa a sena monna empa a ena le bana. 
  Joaloka `nak e phela ke le mong,ke sa nyaloa,ke sena bana,empa ke ntse ke ena le litokelo. 
  Ka lithabeng ho ntse ho ena le lebollo la bashanyana le banana.","In Lesotho, in the olden days, mothers did not have the right to go to school or work. 
  Their job was to stay at home and take care of and raise the children. 
  But in recent years things have changed, we are now equal in rights. 
  Women are going to school, they are in schools. 
  Also, a woman can live without children, only working, or without a husband but with children. 
  As I live alone, I'm single, I don't have children, but I still have rights. 
  Girls and boys in Lesotho still go to initiation schools in the mauntains",,
10:24-10:58,"Lebollo la bo `me le ntse le ts`oana le la banna. 
  Ba ntse ba rutoa ka ho rarolla mathata a bona. 
  Ho its`oarela ka matsoho a bona,e le ho iketsatsa lintho ka mokhoa ho iphelisa. 
  Ba rutoa hape ka ho hlokomela malapa ha ba se ba nyetsoe. 
  Ba rutoa hape hore na ba tlameha ho phela le ho phelisana le bathoa ba bang.","Female initiation is still the same as male initiation. 
  They are being taught how to solve their problems. 
  How to work with their own hand. 
  They are also taught about taking care of families after they are married. They are also taught how to live and get along with other people.",*No audio Sesotho translation from Lucy,
11:00-11:48,"Liqholotso tse kholo tseo re le basali ba Basotho re kopanang le tsona ke hore ka ha ra malapa a bo rona mantsoe a rona ha mameloe,ka ha hothoe re basali. 
  Mantsoe a utloahalang kea bo ntate feela hobane hothoe ke bona lihlooho tsa malapa.","The biggest challenges we as Basotho women face is that because we belong to our families, our voices are not listened to, because we are women. 
  The words that make sense are only my father's because he is said to be the head of the family.",,
13:07-13:56,"Ka `na ho buoa le batsoali ha se bothata hobane nka buoa le `m`e oaka nako eohle ha kena le mathata kapa ha ke hloka thuso. 
  Empa e ka ba bothata ho buoa le ntate ka ha ho bonolo ho `na ho buoa le `m`e ho feta ntate. 
  Ka mokho ts`oanang le bashanyana,ba khona ho buoa le bo ntate e seng bo `m`e ha bana le mathata kapa ba hloka thuso.","Maybe talking to my parents is not a problem because I can talk to my mother all the time when I have problems or when I need help.
  But it would be a problem to speak with my father because it is easier for me to speak with my mother than with my father. 
  Just like boys, they can be operated by the father and not the mother if they have problems or need help.",,
