TIME,TEXT
00:00:00 - 00:00:25,"Allison: Working with that but keeping that passion, the  So I just kind of want to maybe take a step back from where we are today and where Solar Spell is today and get maybe an understanding as to I mean, what influences in your childhood and inspired you to ultimately land on an innovation like Solar Spell libraries"
00:00:25 - 00:00:25,Dr
00:00:25 - 00:00:50,"Hosman: I was thinking about this yesterday and what I was thinking about was how when I was younger, one of the- One of my mantra, one of the things that my parents would always hear me say was, ÔIt's not fair.Õ And they would always respond, ÔLife's not fair Laura.Õ And I never accepted that"
00:00:50 - 00:00:59,"So I was always somehow on the lookout for injustices and pointing them out and wanting to rectify them, wanting to fix them,-"
00:01:00 - 00:01:06,#NAME?
00:01:06 - 00:01:17,"And so when I first started traveling to places where we call the developing world, what really struck me was injustice and inequality, and basically it's not fair"
00:01:17 - 00:01:26,"If I had been born in any one of those locations anywhere around the world, my life would have been so different"
00:01:26 - 00:01:31,My opportunities would have been so different and pretty much limited
00:01:31 - 00:01:39,"So, itÕs fighting that feeling of it's not fair that has driven me since I was a little girl"
00:01:39 - 00:01:41,"Allison: Yeah, I love that"
00:01:41 - 00:01:44,I resonate a lot with that same thing
00:01:44 - 00:01:46,"Like, dad, itÕs not affair"
00:01:46 - 00:01:48,"Well, life isn't fair Alison"
00:01:48 - 00:01:51,"I was like, well I just found- Dr"
00:01:51 - 00:01:54,Hosman: That's not an acceptable answer
00:01:54 - 00:01:56,"Alison: No, not at all"
00:01:56 - 00:01:56,Dr
00:01:56 - 00:01:58,Hosman: Let's make it fair
00:01:58 - 00:01:59,"Alison: Right, exactly."
00:02:00 - 00:02:00,Very cool
00:02:00 - 00:02:18,"And so, when a big part of your foundational story is your hometown library, I would love to just hear you kind of talk about how your hometown library helped lead to a library in a digital space"
00:02:18 - 00:02:18,Dr
00:02:18 - 00:02:31,"Hosman: Well, you've heard it in the presentation before, but to be honest, I received a really well-rounded education for living in a suburb in the United States"
00:02:31 - 00:02:45,"I know that the education system in the United States has challenges these days, and maybe I was a product of the time and the place where I grew up"
00:02:45 - 00:02:50,"But well, I had teachers who gave their all every day 110%"
00:02:50 - 00:02:55,So you've also heard me say teaching is a calling
00:02:55 - 00:02:59,"I actually believe that it's a service that's a calling,-"
00:03:00 - 00:03:04,#NAME?
00:03:04 - 00:03:09,"So, yes, you could combine the two and say that it's a calling"
00:03:09 - 00:03:23,"So I'm a product of others who founded their calling to be educators, be teachers, and just really benefited from that and took that for granted my whole life"
00:03:23 - 00:03:53,"So then the other part of the story as I've come to look at access to information over the years is, yes, I also had access to this amazingly well-resourced library that some people went through the existing books and multimedia that existed at the time and said, you know, this is what we think kids, grown-ups who live here would be interested in learning more with"
00:03:53 - 00:03:59,"So we've got the non-fiction, we've got the fiction; we've got CDs, DVDs, and VHS."
00:04:00 - 00:04:04,All different media over time because media and technology is always changing
00:04:04 - 00:04:13,"So, yes, there was also a great kidsÕ collection, but somebody had to go through and decide what goes into that collection"
00:04:13 - 00:04:21,The process of curating that information and I always took that for granted until I started the library initiative
00:04:21 - 00:04:46,"But it was also a learning moment for me when I wanted to go back and take a picture or think about all of the libraries that I had been to that had been so influential in my own education, and I had zero pictures of libraries over the years because I had always, always taken them for granted"
00:04:46 - 00:04:46,Alison: Absolutely
00:04:46 - 00:04:54,"So we've kind of talked about how teaching is a calling, youÕve rephrased it to services is a calling"
00:04:54 - 00:04:59,"I think that would mean a lot to a lot of different people,-"
00:05:00 - 00:05:19,"-whether as a teaching profession, if you're a policeman, firefighter, doctor, right? However, I want to talk a little bit more about, the value of a teacher and maybe thinking of a teacher in so many different ways, right? Not just the human teacher, the person that stands inside the classroom"
00:05:19 - 00:05:26,"What about a library as a teacher, what does that what does that mean to you? Dr"
00:05:26 - 00:05:35,"Hosman: I'm far more inclined to think of people as lifelong learners, because a library will always be- A library will never be a human"
00:05:35 - 00:05:41,"Even when we infuse it with artificial intelligence, it will still never be a human"
00:05:41 - 00:05:46,So there's always going to be a need for the human beings
00:05:46 - 00:05:59,"A library can be a teacher, but it is the people who are curating the resources that go into the library, and it is the people who have created the resources that go into that library."
00:06:00 - 00:06:10,So it takes humans all the way through and- So [chuckle] I'm not doing a good job of addressing that question
00:06:10 - 00:06:13,Alison: YouÕre doing a great job
00:06:13 - 00:06:18,"[Laughter] Now, I think there's something to that human connection"
