Text,Narrator,Language,Timecode Range,FilePath
what i would like to do with moselantja,grandma,SESOTHO,13:33-13:54,../Interview XLSX/Grandma Interview.xlsx
is for us to live in peace.,grandma,SESOTHO,13:33-13:54,../Interview XLSX/Grandma Interview.xlsx
peace means peaceful life within the family.,grandma,SESOTHO,14:04-14:20,../Interview XLSX/Grandma Interview.xlsx
let us be people who live well in peace.,grandma,SESOTHO,23:40-24:10,../Interview XLSX/Grandma Interview.xlsx
my name is matsele selikane.,grandma,SESOTHO,00:58-01:05,../Interview XLSX/Grandma Interview.xlsx
"i live at ha masupeli with my two grandchildren,",grandma,SESOTHO,,
thabiso and moselantja.,grandma,SESOTHO,03:50-04:00,../Interview XLSX/Grandma Interview.xlsx
libraries are also traditionally a place of community.,hosman,ENGLISH,00:15:13 - 00:15:33,../Interview XLSX/Hosman Interview.xlsx
i also believe that we can,hosman,ENGLISH,00:15:47 - 00:15:52,../Interview XLSX/Hosman Interview.xlsx
build community with a digital library.,hosman,ENGLISH,00:15:47 - 00:15:52,../Interview XLSX/Hosman Interview.xlsx
that's one of the reasons,hosman,ENGLISH,00:15:52 - 00:15:59,../Interview XLSX/Hosman Interview.xlsx
that we started working at schools.,hosman,ENGLISH,00:15:52 - 00:15:59,../Interview XLSX/Hosman Interview.xlsx
i anticipate that solar spell would reach,hakim,ENGLISH,00:21:17 - 00:21:29,../Interview XLSX/Hakim 2 Interview.xlsx
to all these populations in across africa.,hakim,ENGLISH,00:21:17 - 00:21:29,../Interview XLSX/Hakim 2 Interview.xlsx
"solar spell health, solar spell education,",hakim,ENGLISH,00:21:17 - 00:21:29,../Interview XLSX/Hakim 2 Interview.xlsx
i'm anticipating having all the solar spell,hakim,ENGLISH,00:23:53 - 00:23:59,../Interview XLSX/Hakim 2 Interview.xlsx
"libraries across africa in remote areas, particularly.",hakim,ENGLISH,00:23:53 - 00:23:59,../Interview XLSX/Hakim 2 Interview.xlsx
the moment you come to,hakim,ENGLISH,00:45:08 - 00:45:23,../Interview XLSX/Hakim 2 Interview.xlsx
the demonstration on the solar spell,hakim,ENGLISH,00:45:08 - 00:45:23,../Interview XLSX/Hakim 2 Interview.xlsx
"and how it works,",hakim,ENGLISH,00:08:38 - 00:08:52,../Interview XLSX/Hakim 1 Interview.xlsx
"and how it works,",hakim,ENGLISH,00:45:08 - 00:45:23,../Interview XLSX/Hakim 2 Interview.xlsx
"and how you can access the books,",hakim,ENGLISH,00:45:08 - 00:45:23,../Interview XLSX/Hakim 2 Interview.xlsx
you can even see the faces,hakim,ENGLISH,00:45:08 - 00:45:23,../Interview XLSX/Hakim 2 Interview.xlsx
and the smiles you see on the people.,hakim,ENGLISH,00:45:08 - 00:45:23,../Interview XLSX/Hakim 2 Interview.xlsx
it’s because they know that this,hakim,ENGLISH,,
is what we have been waiting for.,hakim,ENGLISH,00:45:23 - 00:45:28,../Interview XLSX/Hakim 2 Interview.xlsx
is what we have been waiting for.,hakim,ENGLISH,00:45:28 - 00:45:36,../Interview XLSX/Hakim 2 Interview.xlsx
"to them, they know",hakim,ENGLISH,00:45:28 - 00:45:36,../Interview XLSX/Hakim 2 Interview.xlsx
"this is what we have been waiting for,",hakim,ENGLISH,00:45:23 - 00:45:28,../Interview XLSX/Hakim 2 Interview.xlsx
"this is what we have been waiting for,",hakim,ENGLISH,00:45:28 - 00:45:36,../Interview XLSX/Hakim 2 Interview.xlsx
we want to have it.,hakim,ENGLISH,00:45:28 - 00:45:36,../Interview XLSX/Hakim 2 Interview.xlsx
