Text,Narrator,Language,Timecode Range,FilePath
"my grandma always says to me,  “bocha ke palesa”.",moselantja,SESOTHO,,
“bocha ke palesa”.,moselantja,SESOTHO,,
"she says it means that youth are the future,",moselantja,SESOTHO,,
and we represent hope.,moselantja,SESOTHO,,
"and, she says my education is the most important thing",moselantja,SESOTHO,,
because it is how hope is made real,moselantja,SESOTHO,,
"my name is moselantja,",moselantja,ENGLISH,,
and i live at ha masupeli and i am 13 years old.,moselantja,ENGLISH,,
it is a beautiful village,moselantja,ENGLISH,,
"because it has the trees, the mountains,",moselantja,ENGLISH,,
"the clean cars, also mountains as well.",moselantja,ENGLISH,,
what i would like to do with moselantja,grandma,SESOTHO,13:33-13:54,../subtitles\Nkhono Selikane.xlsx
is for us to live in peace.,grandma,SESOTHO,13:33-13:54,../subtitles\Nkhono Selikane.xlsx
peace means peaceful life within the family.,grandma,SESOTHO,14:04-14:20,../subtitles\Nkhono Selikane.xlsx
let us be people who live well in peace.,grandma,SESOTHO,23:30-24:10,../subtitles\Nkhono Selikane.xlsx
my name is matsele selikane.,grandma,SESOTHO,00:00-01:00,../subtitles\Nkhono Selikane.xlsx
"i live at ha masupeli with my two grandchildren,",grandma,SESOTHO,,
thabiso and moselantja.,grandma,SESOTHO,03:19-04:40,../subtitles\Nkhono Selikane.xlsx
i love moselantja because she is a very intelligent child.,grandma,SESOTHO,28:52-29:11,../subtitles\Nkhono Selikane.xlsx
she is also a child who loves,grandma,SESOTHO,28:52-29:11,../subtitles\Nkhono Selikane.xlsx
and enjoys school with all her heart.,grandma,SESOTHO,28:52-29:11,../subtitles\Nkhono Selikane.xlsx
the challenges we face in the country,grandma,SESOTHO,21:40-22:05,../subtitles\Nkhono Selikane.xlsx
"of lesotho is the lack of jobs,",grandma,SESOTHO,21:40-22:05,../subtitles\Nkhono Selikane.xlsx
then life becomes difficult when,grandma,SESOTHO,21:40-22:05,../subtitles\Nkhono Selikane.xlsx
